trade_date,code,amount,net_cash_per_share,dividend_cash
2025-07-11,600033.XSHG,33500,0.04,1340.0
2025-07-14,601398.XSHG,15500,0.13168,2041.04
2025-07-14,600027.XSHG,21400,0.104,2225.6
2025-07-14,000429.XSHE,9000,0.4184,3765.6
2025-07-15,600020.XSHG,24300,0.136,3304.8
2025-07-17,600018.XSHG,20500,0.116,2378.0
2025-07-18,601326.XSHG,36400,0.068,2475.2000000000003
2025-07-30,600377.XSHG,7700,0.392,3018.4
2025-08-05,600350.XSHG,11300,0.336,3796.8
2025-08-08,601228.XSHG,36100,0.0312,1126.32
2025-08-15,601333.XSHG,40700,0.056,2279.2000000000003
2025-08-22,601991.XSHG,35600,0.04968,1768.6080000000002
2025-10-15,000001.XSHE,10700,0.1888,2020.1599999999999
2025-10-15,002839.XSHE,28100,0.08,2248.0
2025-10-16,600803.XSHG,6500,0.144,935.9999999999999
2025-10-24,601018.XSHG,32900,0.024,789.6
2025-10-29,600795.XSHG,23700,0.08,1896.0
2025-10-29,603689.XSHG,14200,0.04,568.0
2025-10-31,600017.XSHG,39300,0.0264,1037.52
2025-11-12,600027.XSHG,23500,0.072,1691.9999999999998
2025-11-25,600908.XSHG,20600,0.088,1812.8
2025-12-03,002807.XSHE,27300,0.08,2184.0
2025-12-15,601398.XSHG,16500,0.11312,1866.48
2025-12-31,600033.XSHG,35600,0.04,1424.0
2026-01-13,600018.XSHG,22600,0.04,904.0
2026-02-05,601860.XSHG,44400,0.04,1776.0
2026-05-12,601528.XSHG,23300,0.168,3914.4
2026-05-19,000828.XSHE,12500,0.26,3250.0
2026-05-29,002039.XSHE,6600,0.312,2059.2
