canonical_model_id,has_unique_tier,has_v5n_addendum_link
v5c_p2_valuation_and_crowding_state_panel,True,True
v5c_p3_state_governance_quant_spec,True,True
v5c_p4_state_forward_observation_packet,True,True
v5c_power_specialist_combo_deep_dive,True,True
v5c_profit_taking_overheat_overlay,True,True
v5c_risk_budget_overlay_engineering_comparison,True,True
v5c_sidecar_observation_enhancement,True,True
v5c_sleeve_level_risk_attribution,True,True
v5c_sleeve_weighting_diagnostic,True,True
v5c_sleeve_weighting_rigorous_test,True,True
v5c_topx_capital_rigorous_test,True,True
v5d_baostock_5min_data_gate,True,True
v5d_closeout,True,True
v5d_free_minute_source_audit,True,True
v5d_l2_conservative_slippage_spec,True,True
v5d_l2_execution_cost_broker_paper_review,True,True
v5d_l2_liquidity_instant_fill_review,True,True
v5d_l2_order_scheduling_pm_quant_review,True,True
v5d_l3_1_unfilled_remediation,True,True
v5d_l3_intraday_execution_engineering,True,True
v5d_l3_intraday_execution_policy_spec,True,True
v5d_l3_pm_quant_review,True,True
v5d_l4_rebalance_neighborhood_order_completion,True,True
v5d_minute_execution_audit,True,True
v5d_minute_execution_robustness,True,True
v5d_order_scheduling_engineering_test,True,True
v5d_order_scheduling_policy_spec,True,True
v5d_yixin_api_capability_probe,True,True
v5e_511360_cash_proxy_forward_stress_packet,True,True
v5e_511360_cash_proxy_limited_engineering,True,True
v5e_511360_cash_proxy_limited_engineering_spec,True,True
v5e_511360_cash_proxy_pm_quant_review,True,True
v5e_511360_forward_paper_tracking,True,True
v5e_511360_pit_data_audit,True,True
v5e_capital_sensitivity_test,True,True
v5e_cash_drag_robustness_packet,True,True
v5e_cash_policy_review,True,True
v5e_cash_proxy_asset_data_gate,True,True
v5e_daily_momentum_diagnostic_addendum,True,True
v5e_formal_validation_forward_packet,True,True
v5e_forward_paper_continuation_v5f_prep,True,True
v5e_forward_paper_daily_packet,True,True
v5e_full_holding_5min_data_gate,True,True
v5e_full_holding_5min_momentum_research,True,True
v5e_full_holding_rolling_intraday_research,True,True
v5e_full_intraday_nav_engineering_test,True,True
v5e_historical_closeout_governance_packet,True,True
v5e_holding_period_exit_pm_review,True,True
v5e_limited_engineering_loop,True,True
v5e_long_horizon_momentum_diagnostic,True,True
v5e_momentum_addenda_closeout_packet,True,True
v5e_pm_quant_formal_review,True,True
v5e_post_exit_5min_monitoring_audit_packet,True,True
v5e_post_exit_5min_monitoring_data_gate,True,True
v5e_profit_lock_execution_robust_formal_review,True,True
v5e_profit_lock_main_20pct_sell50,True,True
v5e_profit_lock_main_forward_paper_execution_tracking,True,True
v5e_profit_lock_model_comparison,True,True
v5e_quant_spec_single_name_exit,True,True
v5e_reasonable_momentum_range_test,True,True
v5e_short_financing_etf_cash_proxy_selection_gate,True,True
v5e_sleeve_cash_bucket_engineering,True,True
v5e_sleeve_cash_policy_quant_spec,True,True
v5e_sleeve_level_risk_release_limited_engineering,True,True
v5e_sleeve_level_risk_release_pm_spec,True,True
v5e_sleeve_level_risk_release_quant_spec,True,True
v5e_trigger_day_5min_execution_data_gate,True,True
v5e_trigger_day_5min_execution_proxy_test,True,True
v5f_1min_forward_observation_append,True,True
v5f_1min_intraday_relative_zone_timing_test,True,True
v5f_1min_microstructure_signal_quality_gate,True,True
v5f_1min_queue_123_execution,True,True
v5f_1min_vwap_execution_precision_audit,True,True
v5f_adaptive_momentum_governance,True,True
v5f_backtest_scope_governance_correction,True,True
v5f_clean_forward_target_population,True,True
v5f_deployment_governance_paper_workflow,True,True
v5f_event_triggered_mean_reversion_borrowing_test,True,True
v5f_extreme_value_reversion,True,True
v5f_forward_continuation_v5g01_closeout,True,True
v5f_forward_paper_tracking_with_v5c_state_tags,True,True
v5f_forward_paper_v5c_state_tags,True,True
v5f_improvement_queue_execution,True,True
v5f_internal_subsleeve_candidate_replacement_packet,True,True
v5f_internal_subsleeve_deep_engineering,True,True
v5f_internal_subsleeve_deep_research_spec,True,True
v5f_internal_subsleeve_deployment_governance,True,True
v5f_internal_subsleeve_forward_paper_tracking,True,True
v5f_internal_subsleeve_pm_quant_review,True,True
v5f_internal_subsleeve_queue_123_execution,True,True
v5f_internal_subsleeve_robustness_packet,True,True
v5f_joinquant_export_checklist,True,True
v5f_joinquant_now_execution,True,True
v5f_joinquant_platform_attribution,True,True
v5f_joinquant_platform_forward_handoff,True,True
v5f_local_1min_data_package_audit,True,True
v5f_locked_pool_conditional_momentum,True,True
v5f_locked_pool_daily_momentum_governance,True,True
v5f_mean_reversion_diagnostic,True,True
v5f_model_comparison_progress,True,True
v5f_momentum_weight_tilt_backtest_scope,True,True
v5f_momentum_weight_tilt_forward_paper_tracking,True,True
v5f_momentum_weight_tilt_limited_engineering,True,True
v5f_momentum_weight_tilt_pm_quant_review,True,True
v5f_momentum_weight_tilt_quant_spec,True,True
v5f_needed_model_full_comparison,True,True
v5f_overlay_deployment_governance_review,True,True
v5f_paper_workflow_artifacts,True,True
v5f_physics_curve_diagnostic_spec,True,True
v5f_physics_curve_full_5min_diagnostic,True,True
v5f_pre2021_5min_blocker_completion,True,True
v5f_pre2021_factor_panel_repair,True,True
v5f_pre2021_multisleeve_mainline_validation,True,True
