rebalance_date,code,report_period,report_visible_date,candidate_field_count,candidate_page_count,source_pdf_count,review_status,numeric_value_written,legacy_basel_mapping_approved,future_report_substitution_allowed,usable_for_exact_target
2013-07-01,002142.XSHE,2013-03-31,2013-04-23,3,3,1,original_page_value_adjudication_required,False,False,False,False
2013-10-08,600000.XSHG,2013-12-31,2013-08-13,3,8,1,original_page_value_adjudication_required,False,False,False,False
2013-10-08,600015.XSHG,2013-12-31,2013-08-08,3,6,1,original_page_value_adjudication_required,False,False,False,False
2013-10-08,600016.XSHG,2013-12-31,2013-08-28,3,11,1,original_page_value_adjudication_required,False,False,False,False
2013-10-08,600036.XSHG,2013-12-31,2013-08-16,3,9,1,original_page_value_adjudication_required,False,False,False,False
2013-10-08,601009.XSHG,2013-12-31,2013-08-29,3,5,1,original_page_value_adjudication_required,False,False,False,False
2013-10-08,601166.XSHG,2013-12-31,2013-08-12,3,10,1,original_page_value_adjudication_required,False,False,False,False
2013-10-08,601169.XSHG,2013-12-31,2013-08-28,3,3,1,original_page_value_adjudication_required,False,False,False,False
2013-10-08,601288.XSHG,2013-12-31,2013-08-28,3,11,1,original_page_value_adjudication_required,False,False,False,False
2013-10-08,601328.XSHG,2013-12-31,2013-08-21,3,5,1,original_page_value_adjudication_required,False,False,False,False
2013-10-08,601398.XSHG,2013-12-31,2013-08-29,3,11,1,original_page_value_adjudication_required,False,False,False,False
2013-10-08,601818.XSHG,2013-12-31,2013-08-26,3,6,1,original_page_value_adjudication_required,False,False,False,False
2013-10-08,601939.XSHG,2013-12-31,2013-08-25,3,8,1,original_page_value_adjudication_required,False,False,False,False
2013-10-08,601988.XSHG,2013-12-31,2013-08-29,3,9,1,original_page_value_adjudication_required,False,False,False,False
2013-10-08,601998.XSHG,2013-12-31,2013-08-27,3,11,1,original_page_value_adjudication_required,False,False,False,False
2013-10-08,000001.XSHE,2013-12-31,2013-08-22,3,7,1,original_page_value_adjudication_required,False,False,False,False
2013-10-08,002142.XSHE,2013-12-31,2013-08-28,3,6,1,original_page_value_adjudication_required,False,False,False,False
2014-01-02,600000.XSHG,2013-09-30,2013-10-30,3,1,1,original_page_value_adjudication_required,False,False,False,False
2014-01-02,600015.XSHG,2013-09-30,2013-10-30,3,3,1,original_page_value_adjudication_required,False,False,False,False
2014-01-02,600016.XSHG,2013-09-30,2013-10-30,3,3,1,original_page_value_adjudication_required,False,False,False,False
2014-01-02,600036.XSHG,2013-09-30,2013-10-29,3,4,1,original_page_value_adjudication_required,False,False,False,False
2014-01-02,601009.XSHG,2013-09-30,2013-10-30,3,1,1,original_page_value_adjudication_required,False,False,False,False
2014-01-02,601166.XSHG,2013-09-30,2013-10-29,2,2,1,genuine_quarterly_disclosure_unavailable,False,False,False,False
2014-01-02,601169.XSHG,2013-09-30,2013-10-30,2,1,1,genuine_quarterly_disclosure_unavailable,False,False,False,False
2014-01-02,601288.XSHG,2013-09-30,2013-10-30,3,2,1,original_page_value_adjudication_required,False,False,False,False
2014-01-02,601328.XSHG,2013-09-30,2013-10-30,3,2,1,original_page_value_adjudication_required,False,False,False,False
2014-01-02,601398.XSHG,2013-09-30,2013-10-30,3,3,1,original_page_value_adjudication_required,False,False,False,False
2014-01-02,601818.XSHG,2013-09-30,2013-10-28,3,3,1,original_page_value_adjudication_required,False,False,False,False
2014-01-02,601939.XSHG,2013-09-30,2013-10-27,2,3,1,genuine_quarterly_disclosure_unavailable,False,False,False,False
2014-01-02,601988.XSHG,2013-09-30,2013-10-30,3,2,1,original_page_value_adjudication_required,False,False,False,False
2014-01-02,601998.XSHG,2013-09-30,2013-10-29,3,2,1,original_page_value_adjudication_required,False,False,False,False
2014-01-02,000001.XSHE,2013-09-30,2013-10-22,3,7,1,original_page_value_adjudication_required,False,False,False,False
2014-01-02,002142.XSHE,2013-09-30,2013-10-28,3,3,1,original_page_value_adjudication_required,False,False,False,False
