field,row_count,pit_usable_rows,code_count,pit_usable_code_count,pit_usable_ratio,is_core_v53d_field,is_enhancement_v53d_field,status
embedded_value,30,30,5,5,1.0,true,false,usable
new_business_value,30,30,5,5,1.0,true,false,usable
