candidate_id,role,delta_return_pct_points_vs_repaired_baseline,delta_max_drawdown_pct_points_vs_repaired_baseline,incremental_delta_return_vs_current_equal_blend,status,accepted
internal_subsleeve_mom12_70_30,primary,11.432108727064394,-0.0484754371103735,10.046916585199872,formal_review_candidate_not_accepted,False
internal_subsleeve_mom12_80_20,secondary_stress,7.580544338407869,-0.032626720768758055,6.195352196543347,secondary_stress_reference,False
