trade_date,code,side,amount,price,value,commission,target_amount,reason
2025-01-02,600021.XSHG,sell,12600,8.95,112769.99999999999,33.830999999999996,0,
2025-01-02,000905.XSHE,sell,700,6.84,4788.0,5.0,17600,
2025-01-02,601818.XSHG,sell,1200,3.73,4476.0,5.0,32400,
2025-01-02,601077.XSHG,sell,22700,5.93,134611.0,40.3833,0,
2025-01-02,000027.XSHE,sell,15300,6.28,96084.0,28.8252,0,
2025-01-02,600350.XSHG,sell,13600,9.92,134912.0,40.4736,0,
2025-01-02,000539.XSHE,buy,3700,4.38,16206.0,5.0,27600,
2025-01-02,000828.XSHE,buy,11700,10.32,120744.0,36.2232,11700,
2025-01-02,000900.XSHE,buy,28200,4.29,120978.0,36.2934,28200,
2025-01-02,002039.XSHE,buy,8100,14.87,120447.0,36.1341,8100,
2025-01-02,002807.XSHE,buy,1100,4.21,4631.0,5.0,28700,
2025-01-02,002966.XSHE,buy,15300,7.9,120870.0,36.260999999999996,15300,
2025-01-02,600017.XSHG,buy,700,3.1,2170.0,5.0,39000,
2025-01-02,600020.XSHG,buy,800,4.14,3311.9999999999995,5.0,29200,
2025-01-02,600098.XSHG,buy,19700,6.14,120958.0,36.2874,19700,
2025-01-02,600717.XSHG,buy,1900,4.7,8930.0,5.0,25700,
2025-01-02,600744.XSHG,buy,39600,3.05,120780.0,36.233999999999995,39600,
2025-01-02,600795.XSHG,buy,4600,4.43,20378.0,6.1133999999999995,27300,
2025-01-02,600908.XSHG,buy,1600,5.72,9152.0,5.0,21100,
2025-01-02,600969.XSHG,buy,19200,6.3,120960.0,36.288,19200,
2025-01-02,601006.XSHG,buy,18300,6.6,120780.0,36.233999999999995,18300,
2025-01-02,601018.XSHG,buy,1700,3.7,6290.0,5.0,32600,
2025-01-02,601228.XSHG,buy,36900,3.27,120663.0,36.198899999999995,36900,
2025-01-02,601326.XSHG,buy,4600,3.25,14950.0,5.0,37200,
2025-01-02,601528.XSHG,buy,22200,5.44,120768.00000000001,36.2304,22200,
2025-01-02,601825.XSHG,buy,14500,8.3,120350.00000000001,36.105000000000004,14500,
2025-01-02,601991.XSHG,buy,43800,2.76,120887.99999999999,36.26639999999999,43800,
2025-01-02,601997.XSHG,buy,20700,5.82,120474.0,36.142199999999995,20700,
2025-04-01,601326.XSHG,sell,37200,3.37,125364.0,37.609199999999994,0,
2025-04-01,601991.XSHG,sell,43800,2.99,130962.00000000001,39.2886,0,
2025-04-01,600020.XSHG,sell,1200,4.45,5340.0,5.0,28000,
2025-04-01,000539.XSHE,sell,27600,4.61,127236.00000000001,38.1708,0,
2025-04-01,600098.XSHG,sell,600,6.51,3906.0,5.0,19100,
2025-04-01,000429.XSHE,sell,8800,14.28,125664.0,37.6992,0,
2025-04-01,600969.XSHG,sell,19200,6.94,133248.0,39.974399999999996,0,
2025-04-01,600744.XSHG,sell,39600,3.38,133848.0,40.154399999999995,0,
2025-04-01,600795.XSHG,sell,27300,4.6,125579.99999999999,37.67399999999999,0,
2025-04-01,002039.XSHE,sell,500,16.39,8195.0,5.0,7600,
2025-04-01,000905.XSHE,sell,1500,7.72,11580.0,5.0,16100,
2025-04-01,601818.XSHG,sell,32400,3.74,121176.0,36.352799999999995,0,
2025-04-01,601528.XSHG,sell,22200,5.29,117438.0,35.231399999999994,0,
2025-04-01,002807.XSHE,sell,400,4.41,1764.0,5.0,28300,
2025-04-01,000407.XSHE,buy,37700,3.31,124787.0,37.436099999999996,37700,
2025-04-01,000543.XSHE,buy,16100,7.74,124614.0,37.3842,16100,
2025-04-01,000791.XSHE,buy,18200,6.85,124670.0,37.400999999999996,18200,
2025-04-01,000828.XSHE,buy,500,10.22,5110.0,5.0,12200,
2025-04-01,000900.XSHE,buy,1400,4.22,5908.0,5.0,29600,
2025-04-01,002966.XSHE,buy,400,7.95,3180.0,5.0,15700,
2025-04-01,600017.XSHG,buy,1400,3.09,4326.0,5.0,40400,
2025-04-01,600035.XSHG,buy,1200,4.45,5340.0,5.0,28000,
2025-04-01,600350.XSHG,buy,11600,10.74,124584.0,37.3752,11600,
2025-04-01,600578.XSHG,buy,33600,3.71,124656.0,37.3968,33600,
2025-04-01,600717.XSHG,buy,500,4.76,2380.0,5.0,26200,
2025-04-01,600803.XSHG,buy,6300,19.78,124614.0,37.3842,6300,
2025-04-01,600908.XSHG,buy,800,5.7,4560.0,5.0,21900,
2025-04-01,601006.XSHG,buy,700,6.57,4599.0,5.0,19000,
2025-04-01,601008.XSHG,buy,32200,3.88,124936.0,37.480799999999995,32200,
2025-04-01,601018.XSHG,buy,900,3.72,3348.0,5.0,33500,
2025-04-01,601228.XSHG,buy,1500,3.25,4875.0,5.0,38400,
2025-04-01,601398.XSHG,buy,18300,6.8,124440.0,37.331999999999994,18300,
2025-04-01,601825.XSHG,buy,200,8.45,1689.9999999999998,5.0,14700,
2025-04-01,601988.XSHG,buy,22600,5.52,124751.99999999999,37.425599999999996,22600,
2025-04-01,601997.XSHG,buy,500,5.88,2940.0,5.0,21200,
2025-07-01,002966.XSHE,sell,15700,9.23,144911.0,43.473299999999995,0,
2025-07-01,000407.XSHE,sell,37700,3.4,128180.0,38.45399999999999,0,
2025-07-01,600020.XSHG,sell,500,4.86,2430.0,5.0,27500,
2025-07-01,601825.XSHG,sell,14700,9.89,145383.0,43.6149,0,
2025-07-01,601008.XSHG,sell,32200,6.68,215096.0,64.52879999999999,0,
2025-07-01,601997.XSHG,sell,200,6.37,1274.0,5.0,21000,
2025-07-01,600098.XSHG,sell,19100,6.3,120330.0,36.099,0,
2025-07-01,000791.XSHE,sell,18200,6.31,114842.0,34.4526,0,
2025-07-01,600803.XSHG,sell,6300,18.8,118440.0,35.532,0,
2025-07-01,601988.XSHG,sell,22600,5.65,127690.00000000001,38.307,0,
2025-07-01,600017.XSHG,sell,40400,3.12,126048.0,37.8144,0,
2025-07-01,601006.XSHG,sell,19000,6.57,124830.0,37.449,0,
2025-07-01,002039.XSHE,sell,7600,16.19,123044.00000000001,36.9132,0,
2025-07-01,601398.XSHG,sell,900,7.66,6894.0,5.0,17400,
2025-07-01,000905.XSHE,sell,16100,8.1,130410.0,39.123,0,
2025-07-01,600908.XSHG,sell,1100,6.42,7062.0,5.0,20800,
2025-07-01,600578.XSHG,sell,33600,4.69,157584.0,47.2752,0,
2025-07-01,002807.XSHE,sell,700,4.84,3388.0,5.0,27600,
2025-07-01,000828.XSHE,sell,12200,10.81,131882.0,39.5646,0,
2025-07-01,000900.XSHE,sell,800,4.65,3720.0000000000005,5.0,28800,
2025-07-01,000001.XSHE,buy,10800,12.3,132840.0,39.852,10800,
2025-07-01,000027.XSHE,buy,20800,6.42,133536.0,40.06079999999999,20800,
2025-07-01,000429.XSHE,buy,9900,13.47,133353.0,40.0059,9900,
2025-07-01,000543.XSHE,buy,2900,7.04,20416.0,6.1248,19000,
2025-07-01,001213.XSHE,buy,32900,4.06,133574.0,40.072199999999995,32900,
2025-07-01,600011.XSHG,buy,18600,7.17,133362.0,40.008599999999994,18600,
2025-07-01,600018.XSHG,buy,23300,5.74,133742.0,40.1226,23300,
2025-07-01,600021.XSHG,buy,15000,8.9,133500.0,40.05,15000,
2025-07-01,600027.XSHG,buy,24300,5.51,133893.0,40.167899999999996,24300,
2025-07-01,600033.XSHG,buy,6200,3.55,22010.0,6.603,37700,
2025-07-01,600035.XSHG,buy,3200,4.29,13728.0,5.0,31200,
2025-07-01,600350.XSHG,buy,900,10.7,9630.0,5.0,12500,
2025-07-01,600377.XSHG,buy,600,15.46,9276.0,5.0,8600,
2025-07-01,600717.XSHG,buy,2900,4.59,13311.0,5.0,29100,
2025-07-01,600795.XSHG,buy,26800,4.99,133732.0,40.1196,26800,
2025-07-01,601009.XSHG,buy,11200,11.94,133728.0,40.118399999999994,11200,
2025-07-01,601018.XSHG,buy,2900,3.68,10672.0,5.0,36400,
2025-07-01,601228.XSHG,buy,2600,3.26,8476.0,5.0,41000,
2025-07-01,601326.XSHG,buy,41200,3.25,133900.0,40.169999999999995,41200,
2025-07-01,601333.XSHG,buy,46300,2.89,133807.0,40.1421,46300,
2025-07-01,601939.XSHG,buy,13700,9.71,133027.0,39.9081,13700,
2025-07-01,601991.XSHG,buy,40700,3.29,133903.0,40.170899999999996,40700,
2025-10-09,601326.XSHG,sell,1200,3.45,4140.0,5.0,40000,
2025-10-09,601939.XSHG,sell,13700,8.67,118779.0,35.6337,0,
2025-10-09,601991.XSHG,sell,40700,3.56,144892.0,43.4676,0,
2025-10-09,000543.XSHE,sell,19000,7.47,141930.0,42.57899999999999,0,
2025-10-09,000429.XSHE,sell,9900,11.07,109593.0,32.8779,0,
2025-10-09,601228.XSHG,sell,41000,3.33,136530.0,40.958999999999996,0,
2025-10-09,600018.XSHG,sell,23300,5.53,128849.0,38.6547,0,
2025-10-09,001213.XSHE,sell,32900,4.2,138180.0,41.45399999999999,0,
2025-10-09,600021.XSHG,sell,15000,23.28,349200.0,104.75999999999999,0,
2025-10-09,600795.XSHG,sell,100,5.17,517.0,5.0,26700,
2025-10-09,000027.XSHE,sell,20800,6.88,143104.0,42.9312,0,
2025-10-09,601333.XSHG,sell,5000,3.34,16700.0,5.01,41300,
2025-10-09,601009.XSHG,sell,11200,10.84,121408.0,36.422399999999996,0,
2025-10-09,000900.XSHE,sell,28800,4.12,118656.0,35.596799999999995,0,
2025-10-09,000001.XSHE,buy,1300,11.4,14820.0,5.0,12100,
2025-10-09,000421.XSHE,buy,21800,6.32,137776.0,41.3328,21800,
2025-10-09,000755.XSHE,buy,28600,4.83,138138.0,41.441399999999994,28600,
2025-10-09,000828.XSHE,buy,12100,11.4,137940.0,41.382,12100,
2025-10-09,001872.XSHE,buy,6800,20.12,136816.0,41.044799999999995,6800,
2025-10-09,002807.XSHE,buy,3600,4.43,15947.999999999998,5.0,31200,
2025-10-09,002839.XSHE,buy,32000,4.31,137920.0,41.376,32000,
2025-10-09,600011.XSHG,buy,300,7.28,2184.0,5.0,18900,
2025-10-09,600017.XSHG,buy,44500,3.1,137950.0,41.385,44500,
2025-10-09,600020.XSHG,buy,5000,4.25,21250.0,6.374999999999999,32500,
2025-10-09,600027.XSHG,buy,2200,5.21,11462.0,5.0,26500,
2025-10-09,600033.XSHG,buy,3300,3.37,11121.0,5.0,41000,
2025-10-09,600035.XSHG,buy,3600,3.97,14292.0,5.0,34800,
2025-10-09,600350.XSHG,buy,3400,8.64,29376.000000000004,8.812800000000001,15900,
2025-10-09,600377.XSHG,buy,2400,12.52,30048.0,9.014399999999998,11000,
2025-10-09,600717.XSHG,buy,300,4.69,1407.0000000000002,5.0,29400,
2025-10-09,600803.XSHG,buy,7400,18.43,136382.0,40.91459999999999,7400,
2025-10-09,600908.XSHG,buy,2700,5.88,15876.0,5.0,23500,
2025-10-09,601018.XSHG,buy,1100,3.68,4048.0,5.0,37500,
2025-10-09,601139.XSHG,buy,20500,6.73,137965.0,41.3895,20500,
2025-10-09,601398.XSHG,buy,1500,7.31,10965.0,5.0,18900,
2025-10-09,601528.XSHG,buy,25900,5.32,137788.0,41.3364,25900,
2025-10-09,601880.XSHG,buy,78000,1.77,138060.0,41.418,78000,
2025-10-09,601997.XSHG,buy,2900,5.77,16733.0,5.0199,23900,
2025-10-09,603689.XSHG,buy,16200,8.53,138186.0,41.455799999999996,16200,
2026-01-05,601326.XSHG,sell,40000,3.5,140000.0,41.99999999999999,0,
2026-01-05,601880.XSHG,sell,78000,1.61,125580.00000000001,37.674,0,
2026-01-05,601997.XSHG,sell,200,5.91,1182.0,5.0,23700,
2026-01-05,000755.XSHE,sell,900,5.06,4554.0,5.0,27700,
2026-01-05,601139.XSHG,sell,20500,6.62,135710.0,40.712999999999994,0,
2026-01-05,600033.XSHG,sell,6400,4.06,25983.999999999996,7.795199999999999,34600,
2026-01-05,600803.XSHG,sell,7400,20.64,152736.0,45.8208,0,
2026-01-05,603689.XSHG,sell,16200,8.2,132840.0,39.852,0,
2026-01-05,601398.XSHG,sell,18900,7.82,147798.0,44.3394,0,
2026-01-05,000421.XSHE,sell,21800,6.89,150202.0,45.060599999999994,0,
2026-01-05,601528.XSHG,sell,1000,5.64,5640.0,5.0,24900,
2026-01-05,601333.XSHG,sell,41300,3.03,125138.99999999999,37.54169999999999,0,
2026-01-05,002839.XSHE,sell,1400,4.58,6412.0,5.0,30600,
2026-01-05,002807.XSHE,sell,31200,4.56,142272.0,42.681599999999996,0,
2026-01-05,600350.XSHG,sell,15900,9.65,153435.0,46.030499999999996,0,
2026-01-05,601018.XSHG,sell,37500,3.65,136875.0,41.06249999999999,0,
2026-01-05,000001.XSHE,buy,100,11.5,1150.0,5.0,12200,
2026-01-05,000027.XSHE,buy,21400,6.56,140384.0,42.115199999999994,21400,
2026-01-05,000543.XSHE,buy,17300,8.12,140476.0,42.142799999999994,17300,
2026-01-05,000548.XSHE,buy,26100,5.38,140418.0,42.1254,26100,
2026-01-05,000828.XSHE,buy,900,10.78,9702.0,5.0,13000,
2026-01-05,001872.XSHE,buy,400,19.3,7720.0,5.0,7200,
2026-01-05,002039.XSHE,buy,7800,17.99,140322.0,42.096599999999995,7800,
2026-01-05,600017.XSHG,buy,2300,3.0,6900.0,5.0,46800,
2026-01-05,600018.XSHG,buy,25800,5.43,140094.0,42.0282,25800,
2026-01-05,600020.XSHG,buy,500,4.25,2125.0,5.0,33000,
2026-01-05,600027.XSHG,buy,1500,5.01,7515.0,5.0,28000,
2026-01-05,600035.XSHG,buy,1100,3.91,4301.0,5.0,35900,
2026-01-05,600377.XSHG,buy,700,12.01,8407.0,5.0,11700,
2026-01-05,600717.XSHG,buy,1900,4.49,8531.0,5.0,31300,
2026-01-05,600795.XSHG,buy,1300,5.02,6525.999999999999,5.0,28000,
2026-01-05,600908.XSHG,buy,200,5.93,1186.0,5.0,23700,
2026-01-05,601000.XSHG,buy,36500,3.85,140525.0,42.1575,36500,
2026-01-05,601006.XSHG,buy,27200,5.16,140352.0,42.105599999999995,27200,
2026-01-05,601298.XSHG,buy,16700,8.38,139946.0,41.983799999999995,16700,
2026-01-05,601860.XSHG,buy,50700,2.77,140439.0,42.131699999999995,50700,
2026-01-05,601991.XSHG,buy,39500,3.55,140225.0,42.067499999999995,39500,
2026-01-05,603323.XSHG,buy,27800,5.05,140390.0,42.117,27800,
2026-04-01,600011.XSHG,sell,18900,7.06,133434.0,40.030199999999994,0,
2026-04-01,601991.XSHG,sell,39500,3.94,155630.0,46.68899999999999,0,
2026-04-01,000543.XSHE,sell,500,8.39,4195.0,5.0,16800,
2026-04-01,000755.XSHE,sell,27700,5.21,144317.0,43.2951,0,
2026-04-01,601860.XSHG,sell,50700,2.75,139425.0,41.82749999999999,0,
2026-04-01,000548.XSHE,sell,26100,5.51,143811.0,43.143299999999996,0,
2026-04-01,601000.XSHG,sell,36500,4.75,173375.0,52.012499999999996,0,
2026-04-01,600027.XSHG,sell,28000,4.73,132440.0,39.732,0,
2026-04-01,001872.XSHE,sell,800,22.05,17640.0,5.292,6400,
2026-04-01,600017.XSHG,sell,1000,3.08,3080.0,5.0,45800,
2026-04-01,601006.XSHG,sell,700,5.33,3731.0,5.0,26500,
2026-04-01,600795.XSHG,sell,28000,4.86,136080.0,40.824,0,
2026-04-01,002039.XSHE,sell,200,18.46,3692.0,5.0,7600,
2026-04-01,600018.XSHG,sell,25800,5.04,130032.0,39.0096,0,
2026-04-01,000027.XSHE,sell,1000,6.9,6900.0,5.0,20400,
2026-04-01,601298.XSHG,sell,16700,8.74,145958.0,43.7874,0,
2026-04-01,002839.XSHE,sell,30600,4.52,138312.0,41.493599999999994,0,
2026-04-01,600717.XSHG,sell,600,4.6,2760.0,5.0,30700,
2026-04-01,000001.XSHE,buy,400,11.15,4460.0,5.0,12600,
2026-04-01,000828.XSHE,buy,1100,10.0,11000.0,5.0,14100,
