code,name,low_price_to_book,operating_cash_flow_yield,dividend_cash_per_share,close_pre,dividend_yield
600635.XSHG,大众公用,1.4616,0.0282220063483828,0.036,4.4,0.00818181818181818
600642.XSHG,申能股份,1.0659,0.058624678433199094,0.45999999999999996,8.3,0.05542168674698794
600644.XSHG,乐山电力,2.2569999999999997,-0.005000651833599383,0.015,8.07,0.0018587360594795538
600674.XSHG,川投能源,1.6417,0.0030699201921268546,0.4,15.62,0.025608194622279132
600681.XSHG,百川能源,1.2824,-0.012611770050065575,0.15,3.52,0.04261363636363636
600719.XSHG,大连热电,7.1652,-0.023037624562107974,0.0,7.14,0.0
600744.XSHG,华银电力,8.6663,0.10846681038171437,0.0,5.5,0.0
600769.XSHG,祥龙电业,48.6103,0.0007924887142745842,0.0,16.43,0.0
600780.XSHG,通宝能源,0.7961,0.0489046234027052,0.0,5.95,0.0
600795.XSHG,国电电力,1.3840000000000001,0.10472630448778418,0.241,4.74,0.05084388185654008
600803.XSHG,新奥股份,2.0868,0.00018715739798535458,2.17,16.31,0.13304721030042918
600863.XSHG,华能蒙电,1.7876,0.023550721622203757,0.22000000000000003,4.77,0.046121593291404625
600864.XSHG,哈投股份,0.8645,0.016992827857415713,0.0,5.36,0.0
600886.XSHG,国投电力,1.6863,0.059102927423511635,0.4565,14.54,0.031396148555708395
600900.XSHG,长江电力,3.0791,0.0166878353493548,0.9430000000000001,28.68,0.03288005578800558
600903.XSHG,贵州燃气,2.3123,0.03697397553634787,0.02851,6.08,0.004689144736842106
600917.XSHG,重庆燃气,1.3289,-0.012491121438384494,0.05399999999999999,4.91,0.010997963340122197
600969.XSHG,郴电国际,0.7878,0.12801778434319308,0.126,7.75,0.01625806451612903
600979.XSHG,广安爱众,1.1791,0.008363342968563274,0.0,3.88,0.0
600982.XSHG,宁波能源,1.1512,0.031192853591859658,0.16999999999999998,4.7,0.036170212765957444
600995.XSHG,南网储能,1.6729,0.02656104907542008,0.16907,12.09,0.013984284532671629
601139.XSHG,深圳燃气,1.0614,0.004621505255304345,0.16,6.22,0.025723472668810293
601158.XSHG,重庆水务,1.1433,0.03229323699786123,0.127,4.17,0.030455635491606715
601199.XSHG,江南水务,1.1278,0.003087546212829836,0.12,5.67,0.021164021164021163
601368.XSHG,绿城水务,0.8108,0.01621813830986634,0.034999999999999996,4.44,0.007882882882882882
601985.XSHG,中国核电,1.536,0.04412060367671917,0.18,8.96,0.020089285714285712
601991.XSHG,大唐发电,2.9047,0.08010537466115117,0.11710000000000001,5.78,0.020259515570934257
603053.XSHG,成都燃气,1.5554,0.01207208961552803,0.3,8.84,0.033936651583710405
603080.XSHG,新疆火炬,1.6905,-0.006766980557214221,0.52,19.41,0.026790314270994334
603291.XSHG,联合水务,1.8772,0.0235606947833925,0.2,8.1,0.02469135802469136
603318.XSHG,水发燃气,2.4877,-0.004298825941529974,0.0,8.43,0.0
603689.XSHG,皖天然气,1.0534,0.06043466691068261,0.35,7.56,0.046296296296296294
603706.XSHG,东方环宇,1.9639,-0.0033934526910836373,0.9,19.13,0.04704652378463147
603759.XSHG,海天股份,1.0995,-0.1279839341973023,0.11499999999999999,6.96,0.016522988505747124
605011.XSHG,杭州热电,2.752,-0.0032146454636340915,0.16,17.0,0.009411764705882354
605028.XSHG,世茂能源,2.8202,0.0020055710637639293,0.8999999999999999,24.23,0.03714403631861329
605090.XSHG,九丰能源,2.4994,0.0019466298288640105,0.6519999999999999,41.6,0.01567307692307692
605162.XSHG,新中港,2.5205,0.0021478775146547384,0.16,7.35,0.0217687074829932
605169.XSHG,洪通燃气,1.3243,0.012584248375705423,0.2,9.44,0.021186440677966104
605368.XSHG,蓝天燃气,1.4484,0.023339605250025992,0.4,6.73,0.05943536404160475
605580.XSHG,恒盛能源,4.886,0.0013361938048203799,0.3,18.73,0.01601708489054992
