trade_date,code,side,amount,price,value,commission,target_amount,reason
2026-01-05,002807.XSHE,sell,27600,4.56,125855.99999999999,37.75679999999999,0,
2026-01-05,601398.XSHG,sell,16700,7.82,130594.0,39.1782,0,
2026-01-05,601326.XSHG,sell,35400,3.5,123900.0,37.169999999999995,0,
2026-01-05,600011.XSHG,sell,100,7.42,742.0,5.0,16700,
2026-01-05,000755.XSHE,sell,800,5.06,4047.9999999999995,5.0,24500,
2026-01-05,600033.XSHG,sell,5700,4.06,23141.999999999996,6.942599999999998,30600,
2026-01-05,600803.XSHG,sell,6600,20.64,136224.0,40.8672,0,
2026-01-05,000001.XSHE,buy,100,11.5,1150.0,5.0,10800,
2026-01-05,000027.XSHE,buy,18900,6.56,123983.99999999999,37.19519999999999,18900,
2026-01-05,000543.XSHE,buy,15300,8.12,124235.99999999999,37.270799999999994,15300,
2026-01-05,000548.XSHE,buy,23100,5.38,124278.0,37.28339999999999,23100,
2026-01-05,000828.XSHE,buy,800,10.78,8624.0,5.0,11500,
2026-01-05,001872.XSHE,buy,400,19.3,7720.0,5.0,6400,
2026-01-05,002039.XSHE,buy,6900,17.99,124130.99999999999,37.23929999999999,6900,
2026-01-05,600017.XSHG,buy,2000,3.0,6000.0,5.0,41400,
2026-01-05,600018.XSHG,buy,22900,5.43,124347.0,37.3041,22900,
2026-01-05,600020.XSHG,buy,500,4.25,2125.0,5.0,29200,
2026-01-05,600027.XSHG,buy,1400,5.01,7014.0,5.0,24800,
2026-01-05,600035.XSHG,buy,1000,3.91,3910.0,5.0,31800,
2026-01-05,600377.XSHG,buy,600,12.01,7206.0,5.0,10300,
2026-01-05,600717.XSHG,buy,1700,4.49,7633.0,5.0,27700,
2026-01-05,600795.XSHG,buy,1100,5.02,5521.999999999999,5.0,24700,
2026-01-05,600908.XSHG,buy,100,5.93,593.0,5.0,20900,
2026-01-05,601000.XSHG,buy,32300,3.85,124355.0,37.3065,32300,
2026-01-05,601006.XSHG,buy,24100,5.16,124356.0,37.306799999999996,24100,
2026-01-05,601298.XSHG,buy,14800,8.38,124024.00000000001,37.2072,14800,
2026-01-05,601860.XSHG,buy,44900,2.77,124373.0,37.311899999999994,44900,
2026-01-05,601991.XSHG,buy,35000,3.55,124250.0,37.275,35000,
2026-01-05,603323.XSHG,buy,24600,5.05,124230.0,37.269,24600,
2026-04-01,601000.XSHG,sell,32300,4.75,153425.0,46.027499999999996,0,
2026-04-01,600795.XSHG,sell,24700,4.86,120042.00000000001,36.0126,0,
2026-04-01,000548.XSHE,sell,23100,5.51,127281.0,38.18429999999999,0,
2026-04-01,000543.XSHE,sell,400,8.39,3356.0,5.0,14900,
2026-04-01,600027.XSHG,sell,24800,4.73,117304.00000000001,35.1912,0,
2026-04-01,600717.XSHG,sell,500,4.6,2300.0,5.0,27200,
2026-04-01,600017.XSHG,sell,800,3.08,2464.0,5.0,40600,
2026-04-01,002039.XSHE,sell,200,18.46,3692.0,5.0,6700,
2026-04-01,002839.XSHE,sell,27100,4.52,122491.99999999999,36.74759999999999,0,
2026-04-01,000027.XSHE,sell,800,6.9,5520.0,5.0,18100,
2026-04-01,601006.XSHG,sell,700,5.33,3731.0,5.0,23400,
2026-04-01,601991.XSHG,sell,35000,3.94,137900.0,41.37,0,
2026-04-01,601860.XSHG,sell,44900,2.75,123475.0,37.0425,0,
2026-04-01,001872.XSHE,sell,800,22.05,17640.0,5.292,5600,
2026-04-01,601298.XSHG,sell,14800,8.74,129352.0,38.8056,0,
2026-04-01,000755.XSHE,sell,24500,5.21,127645.0,38.293499999999995,0,
2026-04-01,600011.XSHG,sell,16700,7.06,117902.0,35.370599999999996,0,
2026-04-01,600018.XSHG,sell,22900,5.04,115416.0,34.6248,0,
2026-04-01,000001.XSHE,buy,400,11.15,4460.0,5.0,11200,
2026-04-01,000828.XSHE,buy,1000,10.0,10000.0,5.0,12500,
2026-04-01,600012.XSHG,buy,8200,15.24,124968.0,37.490399999999994,8200,
2026-04-01,600020.XSHG,buy,3000,3.88,11640.0,5.0,32200,
2026-04-01,600023.XSHG,buy,22800,5.47,124716.0,37.4148,22800,
2026-04-01,600033.XSHG,buy,2500,3.78,9450.0,5.0,33100,
2026-04-01,600035.XSHG,buy,200,3.9,780.0,5.0,32000,
2026-04-01,600350.XSHG,buy,11700,10.65,124605.0,37.381499999999996,11700,
2026-04-01,600377.XSHG,buy,200,11.84,2368.0,5.0,10500,
2026-04-01,600642.XSHG,buy,14000,8.93,125020.0,37.506,14000,
2026-04-01,600886.XSHG,buy,8900,14.01,124689.0,37.406699999999994,8900,
2026-04-01,600908.XSHG,buy,1000,5.7,5700.0,5.0,21900,
2026-04-01,601128.XSHG,buy,17500,7.12,124600.0,37.379999999999995,17500,
2026-04-01,601139.XSHG,buy,17400,7.18,124932.0,37.4796,17400,
2026-04-01,601169.XSHG,buy,22700,5.49,124623.0,37.3869,22700,
2026-04-01,601333.XSHG,buy,39800,3.14,124972.0,37.4916,39800,
2026-04-01,601528.XSHG,buy,1400,5.34,7476.0,5.0,23400,
2026-04-01,601816.XSHG,buy,24600,5.08,124968.0,37.490399999999994,24600,
2026-04-01,601880.XSHG,buy,75800,1.65,125070.0,37.520999999999994,75800,
2026-04-01,601997.XSHG,buy,400,5.82,2328.0,5.0,21400,
2026-04-01,603323.XSHG,buy,800,4.91,3928.0,5.0,25400,
