trade_date,code,target_weight,actual_weight,amount,close
2021-10-08,600969.XSHG,0.03553571428145,0.03538051746028387,9000,7.86
2021-10-08,000543.XSHE,0.03553571428145,0.03540752548887951,16200,4.37
2021-10-08,600617.XSHG,0.03553571428145,0.03541652816507805,12600,5.62
2021-10-08,000421.XSHE,0.03553571428145,0.035320499618960235,13200,5.35
2021-10-08,000539.XSHE,0.03553571428145,0.03533150288986957,14300,4.94
2021-10-08,601985.XSHG,0.03553571428145,0.035254479993504236,9900,7.12
2021-10-08,601991.XSHG,0.03553571428145,0.0354585406540046,21100,3.36
2021-10-08,600017.XSHG,0.03553571428145,0.03552706102284908,25100,2.83
2021-10-08,601077.XSHG,0.03553571428145,0.035396022069292474,18100,3.91
2021-10-08,000900.XSHE,0.03553571428145,0.03548854957466641,16200,4.38
2021-10-08,601018.XSHG,0.03553571428145,0.03538651924441623,17600,4.02
2021-10-08,600033.XSHG,0.03553571428145,0.03543453351747514,24600,2.88
2021-10-08,601988.XSHG,0.03553571428145,0.035469043776236234,23100,3.07
2021-10-08,002040.XSHE,0.03553571428145,0.03537301523011842,11500,6.15
2021-10-08,000429.XSHE,0.03553571428145,0.03546404228945926,9700,7.31
2021-10-08,600928.XSHG,0.03553571428145,0.03538801969044932,15900,4.45
2021-10-08,601006.XSHG,0.03553571428145,0.03540252400210254,11200,6.32
2021-10-08,600035.XSHG,0.03553571428145,0.03549005002069951,21700,3.27
2021-10-08,601288.XSHG,0.03553571428145,0.03553056206359296,24000,2.96
2021-10-08,601398.XSHG,0.03553571428145,0.03533550407929114,15000,4.71
2021-10-08,603323.XSHG,0.03553571428145,0.03545353916722763,13400,5.29
2021-10-08,002807.XSHE,0.03553571428145,0.03540952608359029,18200,3.89
2021-10-08,600368.XSHG,0.03553571428145,0.0354755457090463,17300,4.1
2021-10-08,601333.XSHG,0.03553571428145,0.03550205358896424,29700,2.39
2021-10-08,001872.XSHE,0.03553571428145,0.03475033012638568,4000,17.37
2021-10-08,601326.XSHG,0.03553571428145,0.03546154154607078,23400,3.03
2021-10-08,600106.XSHG,0.03553571428145,0.03546654303284775,25600,2.77
2021-10-08,600377.XSHG,0.03553571428145,0.03541052638094569,8000,8.85
2022-01-04,000421.XSHE,0.03553571428145,0.03538288442980742,14500,5.0
2022-01-04,003816.XSHE,0.03553571428145,0.03539947778250554,23100,3.14
2022-01-04,600017.XSHG,0.03553571428145,0.03543705684596892,25300,2.87
2022-01-04,600969.XSHG,0.03553571428145,0.035269659199632035,8900,8.12
2022-01-04,000900.XSHE,0.03553571428145,0.03550977477396949,17000,4.28
2022-01-04,600617.XSHG,0.03553571428145,0.03550977477396949,17000,4.28
2022-01-04,601077.XSHG,0.03553571428145,0.03550782261482854,18800,3.87
2022-01-04,601368.XSHG,0.03553571428145,0.035275515677054906,13000,5.56
2022-01-04,601985.XSHG,0.03553571428145,0.03544340136317702,8900,8.16
2022-01-04,002893.XSHE,0.03553571428145,0.035393621305082675,7900,9.18
2022-01-04,601006.XSHG,0.03553571428145,0.03531065454159209,11200,6.46
2022-01-04,601008.XSHG,0.03553571428145,0.035380932270666465,18400,3.94
2022-01-04,601288.XSHG,0.03553571428145,0.03544047312446559,24700,2.94
2022-01-04,600928.XSHG,0.03553571428145,0.03537214755453217,16700,4.34
2022-01-04,601988.XSHG,0.03553571428145,0.03550928673418425,23700,3.07
2022-01-04,601398.XSHG,0.03553571428145,0.035326759854504966,15500,4.67
2022-01-04,601229.XSHG,0.03553571428145,0.03534237712763261,10100,7.17
2022-01-04,600033.XSHG,0.03553571428145,0.03543705684596892,25300,2.87
