year,trade_date,strategy_return,benchmark_return,excess_return,strategy_nav,benchmark_nav,cash_weight,selected_codes,dividend_cash
2021,2021-07-26,-0.05676391939281844,-0.04679919154197976,-0.009964727850838684,0.9241031467499998,0.8676511802410208,0.009225319467834565,,0.0
2021,2021-10-29,-0.03722280301440528,-0.0326488334153352,-0.004573969599070082,0.8951187916499997,0.8442994946344463,0.013082388348047093,,0.0
2021,2021-07-02,-0.027356252151919613,-0.03040712708329385,0.0030508749313742367,0.9736836467499999,0.9288239176227027,0.008755561191209826,,0.0
2021,2021-07-27,-0.027324871783854232,-0.03143055114172133,0.004105679357867098,0.8988521467499998,0.8403804254472805,0.009484481714622947,,0.0
2021,2021-09-14,-0.025304369978311314,-0.025310521434044442,6.1514557331276976e-06,0.9255120467499994,0.8740157124388638,0.023569165659809342,,0.0
2021,2021-08-19,-0.024575315617034632,-0.028353759181315552,0.00377844356428092,0.9081950467499995,0.8515047960004704,0.02401857049106391,,0.0
2021,2021-07-14,-0.022032386295095296,-0.02256904182723385,0.0005366555321385524,0.9487211467499997,0.8954327249057525,0.008985935202566367,,0.0
2021,2021-07-08,-0.019977051350305253,-0.021885012417198646,0.0019079610668933933,0.9733731467499998,0.9204297867339282,0.008758354160955238,,0.0
2021,2021-09-30,-0.017854471303596964,-0.014887538090233576,-0.0029669332133633874,0.8996895467499996,0.8431829893412168,0.02424563765223046,,0.0
2021,2021-08-26,-0.016378798706847775,-0.016749860148887574,0.0003710614420397995,0.8815105467499995,0.8262952817480768,0.024745644655555517,,0.0
2022,2022-04-25,-0.06753730223539778,-0.054324250205679325,-0.013213052029718453,0.7682148271999992,0.6858506685470964,0.007124084313690486,,0.0
2022,2022-03-15,-0.060691476119201115,-0.06242944300845765,0.001737966889256537,0.7584704767999995,0.6870033359550866,0.008573144240806855,,0.0
2022,2022-10-24,-0.050880719551256615,-0.03959099138640476,-0.011289728164851853,0.6970462490499996,0.6330313796750832,0.0156937205600188,,0.0
2022,2022-06-16,-0.04917849817517694,-0.02858638491437926,-0.020592113260797684,0.8219308271999997,0.729783117716724,0.006658500957609499,,0.0
2022,2022-04-26,-0.04247900306603192,-0.02883449330380683,-0.013644509762225088,0.7355818271999993,0.6660745120374637,0.007440133779313638,,0.0
2022,2022-12-12,-0.0408452179426374,-0.030162548460927696,-0.010682669481709706,0.8496147490499992,0.7508430293003527,0.012875540428449168,,0.0
2022,2022-12-19,-0.029768652153575048,-0.022024759317368803,-0.007743892836206245,0.8385857490499992,0.74525598256986,0.013044878311362439,,0.0
2022,2022-09-16,-0.029750031792649345,-0.023063279913853263,-0.006686751878796082,0.7790528183999996,0.6971558496740886,0.03472783585529477,,0.0
2022,2022-02-14,-0.02721923116288605,-0.0235601823613939,-0.0036590488014921485,0.9094434767999995,0.8538960158390064,0.007149951553756584,,0.0
2022,2022-03-08,-0.02718278553704745,-0.028086711737695835,0.0009039262006483861,0.8331264767999994,0.7616057787059387,0.007804909555840381,,0.0
2026,2026-03-23,-0.043069803452930544,-0.04235286502567859,-0.0007169384272519563,1.5981495971499973,1.0633423738620207,0.007794074579884842,,0.0
2026,2026-03-26,-0.034241308955031524,-0.02974657499824407,-0.004494733956787456,1.5807065971499974,1.0533314348223055,0.007880081713113773,,0.0
2026,2026-05-15,-0.025334198873301128,-0.018149776602254697,-0.007184422271046431,1.4791074143499967,1.008335005831138,0.007573090528332266,,0.0
2026,2026-05-13,-0.025000719309543173,-0.024044658685972053,-0.00095606062357112,1.5447444143499967,1.0416604739045108,0.007251305941580868,,0.0
2026,2026-04-09,-0.024809221269841863,-0.02155811926090212,-0.0032511020089397435,1.5908569143499967,1.062249554753959,0.007041119945458289,,0.0
2026,2026-01-08,-0.024419088976120662,-0.023320813402889273,-0.0010982755732313887,1.982596597149998,1.2853556091960232,0.00628271891917184,,0.0
2026,2026-02-26,-0.024190742935338516,-0.021793967663778724,-0.0023967752715597923,1.7525705971499972,1.158133356838705,0.0071073297533668,,0.0
2026,2026-03-04,-0.02220244471335886,-0.02347052143633055,0.0012680767229716894,1.6953450971499973,1.1244339272960653,0.007347234006185309,,0.0
2026,2026-03-19,-0.021980593407773696,-0.017029617877520997,-0.004950975530252699,1.696092597149997,1.1264387097357422,0.007343995941572061,,0.0
2026,2026-05-27,-0.021442252702948417,-0.016276528348316832,-0.0051657243546315845,1.428594414349997,0.9679842785206049,0.00784086388514726,,0.0
