rank,direction_id,family,delta_return_pct_points_vs_repaired_baseline,delta_max_drawdown_pct_points_vs_repaired_baseline,sharpe_proxy,rough_screen_status,accepted
1,dual_sleeve_mom12_60_40,dual_sleeve_allocation,12.047574426383312,1.26649193707149,1.1201555153087464,diagnostic_only_return_positive_risk_note,False
2,internal_subsleeve_mom12_70_30,v57f_pool_internal_subsleeve,11.432108727064394,-0.0484754371103735,1.1246043214021249,worth_deep_research,False
3,internal_subsleeve_mom12_80_20,v57f_pool_internal_subsleeve,7.580544338407869,-0.032626720768758055,1.0999939905000031,worth_deep_research,False
4,dual_sleeve_mom12_80_20,dual_sleeve_allocation,6.068950730185829,0.631114856824111,1.0899831682415893,diagnostic_only_return_positive_risk_note,False
5,admission_suppression_mom12_bottom_cap75,admission_suppression,1.466014212916189,0.17655291536216033,1.0575568942433557,diagnostic_only_return_positive_risk_note,False
6,state_routed_mom12_70_30_or_100_0,state_routed_budget,-0.7789748802257357,0.8920358386768523,1.0346627570626985,reject_or_archive,False
7,current_momentum_plus_mean_reversion_equal_blend,current_reference,1.3851921418645219,-0.03677788425335837,,current_reference_candidate_not_accepted,False
