sector_id,strategy_id,panel_csv,price_csv,dividend_csv,candidate_code_count,panel_earliest_date,panel_latest_date,candidate_rows_on_2021_05_06,latest_panel_date_on_or_before_deployment,universe_basis
bank,bank_high_dividend_sustainability_v3,数据库\processed\low_volatility_factors_v57\bank_v3_repaired\panel_with_low_vol.csv,数据库\processed\bank_v3_joinquant_real_daily_prices.csv,数据库\processed\bank_v3_joinquant_cash_dividends.csv,42,2014-01-02,2026-04-01,0,2021-04-01,full_codes_from_panel_csv_not_final_holdings
utilities_electricity,utilities_demand_state_v51f,数据库\processed\low_volatility_factors_v56\utilities_v51f\panel_with_low_vol.csv,数据库\processed\utilities_joinquant_real_daily_prices.csv,数据库\processed\utilities_joinquant_cash_dividends.csv,128,2017-01-03,2026-04-01,0,2021-04-01,full_codes_from_panel_csv_not_final_holdings
highway_infrastructure,highway_dividend_reviewed_operating_v54h_repaired_2021,数据库\processed\low_volatility_factors_v56\highway_v54h\panel_with_low_vol.csv,数据库\processed\highway_v54h_joinquant_real_daily_prices.csv,数据库\processed\highway_v54h_joinquant_cash_dividends.csv,13,2021-05-06,2026-04-01,11,,full_codes_from_panel_csv_not_final_holdings
port_rail_infrastructure,port_rail_cashflow_value_operating_diagnostic_v55j_reviewed_business_sources,数据库\processed\low_volatility_factors_v56\port_rail_v55j\panel_with_low_vol.csv,数据库\processed\port_rail_v55c_joinquant_real_daily_prices.csv,数据库\processed\port_rail_v55c_joinquant_cash_dividends.csv,21,2021-05-06,2026-04-01,18,,full_codes_from_panel_csv_not_final_holdings
