sector_id,panel_csv,panel_min_date,panel_max_date,price_csv,price_min_date,price_max_date,first_tradable_date,has_pre_deployment_price_history
bank,数据库\processed\low_volatility_factors_v57\bank_v3_repaired\panel_with_low_vol.csv,2014-01-02,2026-04-01,数据库\processed\bank_v3_joinquant_real_daily_prices.csv,2021-05-06,2026-05-29,2021-05-06,False
utilities_electricity,数据库\processed\low_volatility_factors_v56\utilities_v51f\panel_with_low_vol.csv,2017-01-03,2026-04-01,数据库\processed\utilities_joinquant_real_daily_prices.csv,2021-05-06,2026-05-29,2021-05-06,False
highway_infrastructure,数据库\processed\low_volatility_factors_v56\highway_v54h\panel_with_low_vol.csv,2021-05-06,2026-04-01,数据库\processed\highway_v54h_joinquant_real_daily_prices.csv,2021-05-06,2026-05-29,2021-05-06,False
port_rail_infrastructure,数据库\processed\low_volatility_factors_v56\port_rail_v55j\panel_with_low_vol.csv,2021-05-06,2026-04-01,数据库\processed\port_rail_v55c_joinquant_real_daily_prices.csv,2021-05-06,2026-05-29,2021-05-06,False
