trade_date,next_trade_date,strategy_return,benchmark_return,excess_return,strategy_nav,benchmark_nav,excess_nav,selected_count,date_security_count,cash_weight,benchmark_source,selected_codes,portfolio_value,cash,invested_value,buy_turnover,sell_turnover,commission,dividend_cash,defensive_state,effective_target_exposure,experiment_layer
2024-09-30,,0.07047081243557463,0.09454191033138404,-0.024071097895809412,1.4181789887999998,1.1354903943377135,1.1241489462016683,0,23,0.011779534834411264,516970.XSHG,,2836357.9775999994,33410.977599999474,2802947.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2025-04-09,,0.05911732868051578,0.022817460317460236,0.03629986836305554,1.48726535115,1.0424671385237592,1.2593320605834657,0,23,0.005177187207411107,516970.XSHG,,2974530.702299999,15399.702299999131,2959131.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2025-05-19,,0.05046330320878156,0.002849002849002913,0.04761430035977865,1.6424852511500003,1.0677451971688552,1.3578059123401425,0,23,0.005997162618722348,516970.XSHG,,3284970.5022999994,19700.50229999913,3265270.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2023-05-04,,0.047004613718896415,0.016788321167883202,0.030216292551013213,1.337105264400002,1.408493427704751,0.883310950431016,0,23,0.005183035759798468,516970.XSHG,,2674210.5288,13860.528799999971,2660350.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-02-25,,0.04590582379393293,-0.00496277915632759,0.05086860295026052,1.0438479109999999,1.2163801820020215,0.82420630389562,0,23,0.005816854099160052,516970.XSHG,,2087695.822,12143.822000000015,2075552.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2025-03-18,,0.045500995250172815,0.0009132420091324533,0.04458775324104036,1.44256450595,1.108190091001009,1.1508012159947427,0,23,0.005792466066879111,516970.XSHG,,2885129.0118999993,16712.011899999205,2868417.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-03-03,,0.04288009461227271,0.014827018121911006,0.028053076490361706,1.1390424110000004,1.2457027300303332,0.8780994964248577,0,23,0.005330715468855362,516970.XSHG,,2278084.822,12143.822000000015,2265941.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2025-04-08,,0.04098366272827647,0.03703703703703698,0.0039466256912394915,1.4042498511500001,1.019211324570271,1.2152197438495413,0,23,0.005483248685192192,516970.XSHG,,2808499.702299999,15399.702299999131,2793100.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-02-07,,0.0391387349052712,0.07245155855096863,-0.03331282364569743,1.0172419109999997,1.28715874620829,0.7595525596656364,0,23,0.005968994134375582,516970.XSHG,,2034483.822,12143.822000000015,2022340.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-02-08,,0.03862208150800428,0.00471327572662994,0.03390880578137434,1.0565299109999997,1.2932254802831131,0.7853080798920842,0,23,0.005747031803626813,516970.XSHG,,2113059.822,12143.822000000015,2100916.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
