trade_date,next_trade_date,strategy_return,benchmark_return,excess_return,strategy_nav,benchmark_nav,excess_nav,selected_count,date_security_count,cash_weight,benchmark_source,selected_codes,portfolio_value,cash,invested_value,buy_turnover,sell_turnover,commission,dividend_cash,defensive_state,effective_target_exposure,experiment_layer
2024-10-09,,-0.06504913513156396,-0.09385665529010234,0.02880752015853838,1.3492217445999997,1.0738119312436794,1.1263878674164676,0,23,0.00715912313054462,516970.XSHG,,2698443.4891999993,19318.489199999247,2679125.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-03-15,,-0.06325700787867417,-0.0675438596491228,0.00428685177044863,0.9404524110000003,1.0748230535894836,0.8399242071263436,0,23,0.006456372410746053,516970.XSHG,,1880904.822,12143.822000000015,1868761.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2025-04-07,,-0.05808238165883983,-0.0830188679245284,0.024936486265688562,1.3489643511500002,0.9828109201213328,1.2104425800652854,0,23,0.005707972299961374,516970.XSHG,,2697928.702299999,15399.702299999131,2682529.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-04-25,,-0.04977594816929565,-0.048586572438162445,-0.001189375731133202,0.9616313307000006,1.0889787664307378,0.8423281552436294,0,23,0.005847699134247858,516970.XSHG,,1923262.6614,11246.661400000012,1912016.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2024-01-22,,-0.04831818975597457,-0.03503184713375784,-0.013286342622216729,1.0979711496000004,0.919110212335692,1.0955255723963084,0,23,0.0062498450915580575,516970.XSHG,,2195942.2992,13724.299199999834,2182218.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2026-03-23,,-0.043842062292316686,-0.039024390243902474,-0.004817672048414212,1.6259917849999979,1.1951466127401378,1.178773313576669,0,23,0.005786182369918575,516970.XSHG,,3251983.569999999,18816.56999999886,3233167.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2025-04-15,,-0.039900288684656005,-0.004835589941973084,-0.03506469874268292,1.48508785115,1.0404448938321513,1.2599084840054673,0,23,0.005184778223077559,516970.XSHG,,2970175.702299999,15399.702299999131,2954776.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2025-05-23,,-0.03988805933933759,-0.010476190476190639,-0.02941186886314695,1.5312472511500004,1.0505561172901898,1.2867778693023462,0,23,0.006432828625554635,516970.XSHG,,3062494.5022999994,19700.50229999913,3042794.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-09-26,,-0.03727403679669694,-0.025139664804469386,-0.012134371992227555,1.011075638550001,1.0586450960566223,0.9040759550393402,0,23,0.01971577376603384,516970.XSHG,,2022151.2771,39868.27710000001,1982283.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-03-08,,-0.0366258904011727,-0.021364009860312283,-0.015261880540860417,1.033750911,1.2042467138523758,0.8247793323652832,0,23,0.005873669309878855,516970.XSHG,,2067501.822,12143.822000000015,2055358.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
