year,trading_days,invested_days,cash_only_days,strategy_return,benchmark_return,excess_return,avg_cash_weight,buy_turnover,sell_turnover,commission,dividend_cash,trade_count,dividend_event_count,max_drawdown,max_drawdown_start,max_drawdown_end
2021,164,164,0,0.0853711589,0.2254802831,-0.1281972009,0.0138750483,2948400.00,910414.00,1180.68,65346.00,27,9,0.10948897323193862,2021-09-23,2021-11-29
2022,242,242,0,0.0629800351,-0.1196369637,0.1693369134,0.0099841220,3703702.00,3631773.00,2243.76,60635.18,45,7,0.17432287849590955,2022-03-03,2022-03-15
2023,242,242,0,0.1017895316,-0.0768509841,0.1654485162,0.0087914260,3307088.00,3247466.00,2001.96,63349.80,42,8,0.1805070244904463,2023-05-08,2023-10-23
2024,242,242,0,0.2169295380,0.1329949239,0.0379287464,0.0089174195,4908881.00,4873614.00,2959.52,52474.12,45,9,0.10633998920246512,2024-08-01,2024-09-11
2025,243,243,0,0.1069782126,0.0627240143,0.0244546356,0.0075683549,4874646.00,4817069.00,2923.58,58516.75,43,11,0.08926445329119903,2025-05-19,2025-06-19
2026,95,95,0,0.0425236014,-0.0185497470,0.0511740469,0.0057654168,2315344.00,2311384.00,1402.73,0.00,21,0,0.06505476512934871,2026-03-12,2026-05-28
