trade_date,next_trade_date,strategy_return,benchmark_return,excess_return,strategy_nav,benchmark_nav,excess_nav,selected_count,date_security_count,cash_weight,benchmark_source,selected_codes,portfolio_value,cash,invested_value,buy_turnover,sell_turnover,commission,dividend_cash,defensive_state,effective_target_exposure,experiment_layer
2021-05-06,,0.0,0.0,0.0,1.0,1.0,1.0,0,83,1.0,000300.XSHG,,2000000.0,2000000.0,0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2021-05-07,,0.0,-0.012856838012139549,0.012856838012139549,1.0,0.9871431619878605,1.0128568380121394,0,83,1.0,000300.XSHG,,2000000.0,2000000.0,0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2021-05-10,,0.0,-0.000726573993454882,0.000726573993454882,1.0,0.9864259294385432,1.013592753449732,0,83,1.0,000300.XSHG,,2000000.0,2000000.0,0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2021-05-11,,0.0,0.0061373041530961014,-0.0061373041530961014,1.0,0.9924799253920081,1.0073720264344368,0,83,1.0,000300.XSHG,,2000000.0,2000000.0,0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2021-05-12,,0.0,0.004278268625101056,-0.004278268625101056,1.0,0.9967260211178554,1.0030622182999378,0,83,1.0,000300.XSHG,,2000000.0,2000000.0,0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2021-05-13,,0.0,-0.010224896175080045,0.010224896175080045,1.0,0.9865346010369247,1.0133184253392,0,83,1.0,000300.XSHG,,2000000.0,2000000.0,0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2021-05-14,,0.0,0.023557121312565377,-0.023557121312565377,1.0,1.0097745163125948,0.9894475602652267,0,83,1.0,000300.XSHG,,2000000.0,2000000.0,0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2021-05-17,,0.0,0.014558006022787895,-0.014558006022787895,1.0,1.0244748198027314,0.9750431767236528,0,83,1.0,000300.XSHG,,2000000.0,2000000.0,0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2021-05-18,,0.0,0.0005033760913715213,-0.0005033760913715213,1.0,1.0249905159332322,0.9745523633004352,0,83,1.0,000300.XSHG,,2000000.0,2000000.0,0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2021-05-19,,0.0,-0.002955123756650413,0.002955123756650413,1.0,1.0219615421092565,0.9774322861413239,0,83,1.0,000300.XSHG,,2000000.0,2000000.0,0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2021-05-20,,0.0,0.0027338093332327507,-0.0027338093332327507,1.0,1.0247553901112798,0.9747601726348678,0,83,1.0,000300.XSHG,,2000000.0,2000000.0,0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2021-05-21,,0.0,-0.010076334111649543,0.010076334111649543,1.0,1.0144296124178047,0.984582181813066,0,83,1.0,000300.XSHG,,2000000.0,2000000.0,0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2021-05-24,,0.0,0.004175959019506736,-0.004175959019506736,1.0,1.0186658289074355,0.9804706069704782,0,83,1.0,000300.XSHG,,2000000.0,2000000.0,0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2021-05-25,,0.0,0.03159483201728608,-0.03159483201728608,1.0,1.0508504046535154,0.9494928028453594,0,83,1.0,000300.XSHG,,2000000.0,2000000.0,0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2021-05-26,,0.0,0.0003967298927514129,-0.0003967298927514129,1.0,1.0512673084218513,0.9491161106675183,0,83,1.0,000300.XSHG,,2000000.0,2000000.0,0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2021-05-27,,0.0,0.0033154217859296953,-0.0033154217859296953,1.0,1.054752702959029,0.9459693904368344,0,83,1.0,000300.XSHG,,2000000.0,2000000.0,0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2021-05-28,,0.0,-0.003210802082338038,0.003210802082338038,1.0,1.0513661007840163,0.949006710925477,0,83,1.0,000300.XSHG,,2000000.0,2000000.0,0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2021-05-31,,0.0,0.0019695212822936625,-0.0019695212822936625,1.0,1.0534367886949925,0.9471376220112697,0,83,1.0,000300.XSHG,,2000000.0,2000000.0,0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2021-06-01,,0.0,0.0018962519483005646,-0.0018962519483005646,1.0,1.055434370257967,0.9453416104502221,0,83,1.0,000300.XSHG,,2000000.0,2000000.0,0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2021-06-02,,0.0,-0.009680475056536575,0.009680475056536575,1.0,1.0452172641628732,0.9544929663300917,0,83,1.0,000300.XSHG,,2000000.0,2000000.0,0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2021-06-03,,0.0,-0.006555802773928865,0.006555802773928865,1.0,1.0383650259231159,0.960750433966454,0,83,1.0,000300.XSHG,,2000000.0,2000000.0,0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
