trade_date,strategy_return,benchmark_return,excess_return,strategy_nav,benchmark_nav,excess_nav,portfolio_value,cash,invested_value,cash_weight,selected_count,holding_count,buy_turnover,sell_turnover,commission,dividend_cash,corporate_action_share_value,benchmark_constituent_count,rebalance
2021-05-06,0.0,0.0,0.0,1.0,1.0,1.0,2000000.0,2000000.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
2021-05-07,0.0,0.006665219629222747,-0.006665219629222747,1.0,1.0066652196292227,0.9933347803707773,2000000.0,2000000.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,191,0
2021-05-10,0.0,0.008440692898092555,-0.008440692898092555,1.0,1.0151621715993038,0.9849503465446733,2000000.0,2000000.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,191,0
2021-05-11,0.0,0.008959073791582877,-0.008959073791582877,1.0,1.0242570844050853,0.9761261037089344,2000000.0,2000000.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,191,0
2021-05-12,0.0,0.0013844722937479282,-0.0013844722937479282,1.0,1.0256751399601192,0.9747746841631453,2000000.0,2000000.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,191,0
2021-05-13,0.0,-0.008599884181009676,0.008599884181009676,1.0,1.0168544525491212,0.9831576335495287,2000000.0,2000000.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,191,0
2021-05-14,0.0,0.010778008834497671,-0.010778008834497671,1.0,1.027814118822094,0.972561151889428,2000000.0,2000000.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,191,0
2021-05-17,0.0,-0.005930268972158196,0.005930268972158196,1.0,1.021718904644097,0.9783287011120042,2000000.0,2000000.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,191,0
2021-05-18,0.0,0.004084023002266213,-0.004084023002266213,1.0,1.025891628152514,0.9743331841928856,2000000.0,2000000.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,191,0
2021-05-19,0.0,0.0005718181448720259,-0.0005718181448720259,1.0,1.0264782516001638,0.9737760427990132,2000000.0,2000000.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,191,0
2021-05-20,0.0,-0.003322314360068726,0.003322314360068726,1.0,1.0230679681645745,0.9770112329294952,2000000.0,2000000.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,191,0
2021-05-21,0.0,0.01182179812110061,-0.01182179812110061,1.0,1.0351624711483807,0.9654612033717551,2000000.0,2000000.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,191,0
2021-05-24,0.0,0.0013811948519770743,-0.0013811948519770743,1.0,1.0365922322244907,0.9641277133278745,2000000.0,2000000.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,191,0
2021-05-25,0.0,0.0037576448371850917,-0.0037576448371850917,1.0,1.0404873776741752,0.960504863803501,2000000.0,2000000.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,191,0
2021-05-26,0.0,0.004761583026686724,-0.004761583026686724,1.0,1.0454417447111903,0.9559313401469642,2000000.0,2000000.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,192,0
2021-05-27,0.0,0.0010532971630469073,-0.0010532971630469073,1.0,1.0465429055350253,0.9549244603783198,2000000.0,2000000.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,192,0
2021-05-28,0.0,-0.004674362556610855,0.004674362556610855,1.0,1.0416509845635056,0.959388123520304,2000000.0,2000000.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,192,0
2021-05-31,0.0,0.0029636306113372548,-0.0029636306113372548,1.0,1.0447380533076875,0.9565448515092858,2000000.0,2000000.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,192,0
2021-06-01,0.0,-0.0027971455850055314,0.0027971455850055314,1.0,1.0418157688743908,0.9592204467175448,2000000.0,2000000.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,192,0
2021-06-02,0.0,0.003887605363984765,-0.003887605363984765,1.0,1.0458659374457506,0.9554913761636418,2000000.0,2000000.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,192,0
2021-06-03,0.0,-0.00022623685127549627,0.00022623685127549627,1.0,1.0456293240292065,0.955707543524006,2000000.0,2000000.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,192,0
2021-06-04,0.0,-0.007337382655816761,0.007337382655816761,1.0,1.0379571415626612,0.9627199354778923,2000000.0,2000000.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,192,0
2021-06-07,0.0,-0.0014718361973186586,0.0014718361973186586,1.0,1.0364294386704438,0.964136901526809,2000000.0,2000000.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,192,0
2021-06-08,0.0,0.0009002517541963101,-0.0009002517541963101,1.0,1.0373624860907076,0.9632689355899241,2000000.0,2000000.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,192,0
2021-06-09,0.0,0.001524248882509347,-0.001524248882509347,1.0,1.0389436847008884,0.9618006739912952,2000000.0,2000000.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,192,0
