trade_date,code,target_weight,actual_weight,amount,close
2021-10-08,600969.XSHG,0.03553571428145,0.03421150216809537,8700,7.86
2021-10-08,000543.XSHE,0.03553571428145,0.03366917716516747,15400,4.37
2021-10-08,600617.XSHG,0.03553571428145,0.03570839922414727,12700,5.62
2021-10-08,000421.XSHE,0.03553571428145,0.03613415436943476,13500,5.35
2021-10-08,000539.XSHE,0.03553571428145,0.03361214298589277,13600,4.94
2021-10-08,601985.XSHG,0.03553571428145,0.0345527066441072,9700,7.12
2021-10-08,601991.XSHG,0.03553571428145,0.03277964408840936,19500,3.36
2021-10-08,600017.XSHG,0.03553571428145,0.036104136380342815,25500,2.83
2021-10-08,601077.XSHG,0.03553571428145,0.03579795289160492,18300,3.91
2021-10-08,000900.XSHE,0.03553571428145,0.03571840522051126,16300,4.38
2021-10-08,601018.XSHG,0.03553571428145,0.03579945379105952,17800,4.02
2021-10-08,600033.XSHG,0.03553571428145,0.035877500562698596,24900,2.88
2021-10-08,601988.XSHG,0.03553571428145,0.03578694629560454,23300,3.07
2021-10-08,002040.XSHE,0.03553571428145,0.03538370464213601,11500,6.15
2021-10-08,000429.XSHE,0.03553571428145,0.03474332087484108,9500,7.31
2021-10-08,600928.XSHG,0.03553571428145,0.03584398047487925,16100,4.45
2021-10-08,601006.XSHG,0.03553571428145,0.03541322233140977,11200,6.32
2021-10-08,600035.XSHG,0.03553571428145,0.035991568921248,22000,3.27
2021-10-08,601288.XSHG,0.03553571428145,0.035541299084868756,24000,2.96
2021-10-08,601398.XSHG,0.03553571428145,0.035817464584514694,15200,4.71
2021-10-08,603323.XSHG,0.03553571428145,0.0359935701205208,13600,5.29
2021-10-08,002807.XSHE,0.03553571428145,0.0358094597874235,18400,3.89
2021-10-08,600368.XSHG,0.03553571428145,0.03589651195579016,17500,4.1
2021-10-08,601333.XSHG,0.03553571428145,0.035991068621429805,30100,2.39
2021-10-08,001872.XSHE,0.03553571428145,0.03476083136847805,4000,17.37
2021-10-08,601326.XSHG,0.03553571428145,0.036381802779443355,24000,3.03
2021-10-08,600106.XSHG,0.03553571428145,0.036031592906703935,26000,2.77
2021-10-08,600377.XSHG,0.03553571428145,0.035863992467607214,8100,8.85
