trade_date,strategy_return,benchmark_return,excess_return,strategy_nav,benchmark_nav,excess_nav,portfolio_value,cash,invested_value,cash_weight,selected_count,holding_count,buy_turnover,sell_turnover,commission,dividend_cash,corporate_action_share_value,benchmark_constituent_count,rebalance
2026-07-01,0.01395277380000004,0.0,0.01395277380000004,1.0139527738,1.0,1.0139527738,2027905.5476000002,17897.547600000195,2010008.0,0.008825631756460112,28,28,1981508.0,0.0,594.4524000000001,0.0,0.0,0,1
2026-07-02,0.008164581441968632,0.0007287420508496813,0.007435839391118951,1.0222312738000001,1.0007287420508497,1.0214923637761564,2044462.5476000002,17897.547600000195,2026565.0,0.008754157722776663,0,28,0.0,0.0,0.0,0.0,0.0,210,0
2026-07-03,0.003947247656590047,0.00720268109329518,-0.0032554334367051324,1.0262662738000001,1.0079366720407366,1.0181669633797805,2052532.5476000002,17897.547600000195,2034635.0,0.008719738754412234,0,28,0.0,0.0,0.0,0.0,0.0,210,0
2026-07-06,0.01244754926292102,0.0028788304111117976,0.009568718851809222,1.0390407738,1.0108383507846823,1.027909516796562,2078081.5476000002,17897.547600000195,2060184.0,0.008612533815465652,0,28,0.0,0.0,0.0,0.0,0.0,210,0
2026-07-07,-0.011754110433351284,-0.02183017939573162,0.010076068962380336,1.0268277738,0.9887715682469672,1.0382668039748912,2053655.5476000002,17897.547600000195,2035758.0,0.008714970541635437,0,28,0.0,0.0,0.0,0.0,0.0,210,0
2026-07-08,0.006715342315373629,-0.0025040881577461254,0.009219430473119754,1.0337232738,0.9862955970722039,1.047839032586686,2067446.5476000002,17897.547600000195,2049549.0,0.008656836918360285,0,28,0.0,0.0,0.0,0.0,0.0,210,0
2026-07-09,-0.007367058663587223,-0.0044396457001111,-0.0029274129634761226,1.0261077738,0.9819167940656238,1.0447715750190554,2052215.5476000002,17897.547600000195,2034318.0,0.008721085668087252,0,28,0.0,0.0,0.0,0.0,0.0,210,0
2026-07-10,-0.000270926706821939,0.006980802464504762,-0.007251729171326701,1.0258297738,0.9887713612415758,1.0371951745111168,2051659.5476000002,17897.547600000195,2033762.0,0.008723449083419552,0,28,0.0,0.0,0.0,0.0,0.0,210,0
2026-07-13,0.004570446403239226,-0.0054930566036748285,0.010063503006914054,1.0305182737999998,0.9833399841861833,1.0476329912685662,2061036.5476000002,17897.547600000195,2043139.0,0.008683760421832994,0,28,0.0,0.0,0.0,0.0,0.0,210,0
2026-07-14,0.00917936172555045,0.01503853818147382,-0.005859176455923369,1.0399777737999998,0.9981279800837369,1.0414947247116768,2079955.5476000002,17897.547600000195,2062058.0,0.008604774087913394,0,28,0.0,0.0,0.0,0.0,0.0,210,0
2026-07-15,0.006558794016411129,0.011662596080979465,-0.005103802064568336,1.0467987737999997,1.0097687435525775,1.0361791417854564,2093597.5476000002,17897.547600000195,2075700.0,0.008548704893410428,0,28,0.0,0.0,0.0,0.0,0.0,210,0
2026-07-16,-0.007071559678206385,-0.006945874132014921,-0.00012568554619146396,1.0393962737999998,1.0027550169574184,1.036048909044069,2078792.5476000002,17897.547600000195,2060895.0,0.008609588109531758,0,28,0.0,0.0,0.0,0.0,0.0,210,0
2026-07-17,0.005926517301701795,0.002021314992622101,0.0039052023090796937,1.0455562738,1.0047819007071215,1.0400948896359874,2091112.5476000002,17897.547600000195,2073215.0,0.008558863854813298,0,28,0.0,0.0,0.0,0.0,0.0,210,0
