trade_date,selected_count,trade_count,buy_count,sell_count,post_rebalance_holding_count,buy_turnover,sell_turnover,health_status,note
2026-01-05,10,13,6,7,10,856345.0,854079.0,passed,2026 failure is not caused by no-order / no-holding execution failure.
2026-04-01,10,11,5,6,10,281678.0,281280.0,passed,2026 failure is not caused by no-order / no-holding execution failure.
