trade_date,code,amount,net_cash_per_share,dividend_cash
2024-07-26,600377.XSHG,9100,0.376,3421.6
2024-08-08,000883.XSHE,19200,0.072,1382.3999999999999
2024-08-23,601991.XSHG,38300,0.006,229.8
2024-10-21,000905.XSHE,19000,0.0424,805.6
2024-10-25,600681.XSHG,33400,0.072,2404.7999999999997
2024-10-31,600795.XSHG,23400,0.072,1684.8
2024-12-20,600033.XSHG,33600,0.04,1344.0
2025-01-22,601818.XSHG,33100,0.0832,2753.92
2025-04-25,601988.XSHG,22600,0.09728,2198.5280000000002
2025-04-30,002807.XSHE,28700,0.16,4592.0
2025-05-09,601008.XSHG,32900,0.048,1579.2
2025-05-14,000828.XSHE,12600,0.26,3276.0
2025-05-16,601018.XSHG,34000,0.0864,2937.6000000000004
2025-05-29,000900.XSHE,30600,0.12,3672.0
2025-06-04,000791.XSHE,18900,0.144,2721.6
2025-06-05,002966.XSHE,16100,0.16,2576.0
2025-06-06,601997.XSHG,21500,0.232,4988.0
2025-06-13,600017.XSHG,41100,0.0688,2827.68
2025-06-16,000905.XSHE,16700,0.044,734.8
2025-06-19,600717.XSHG,26800,0.0832,2229.7599999999998
2025-06-25,000543.XSHE,16900,0.2552,4312.88
2025-06-27,601825.XSHG,15200,0.1544,2346.88
2025-06-27,002039.XSHE,7600,0.048,364.8
2025-06-27,600098.XSHG,19800,0.216,4276.8
2025-06-27,600035.XSHG,29100,0.136,3957.6000000000004
2025-07-04,600908.XSHG,21500,0.176,3784.0
2025-07-10,600011.XSHG,19000,0.216,4104.0
2025-07-10,600795.XSHG,27900,0.088,2455.2
2025-07-11,600033.XSHG,38400,0.04,1536.0
2025-07-14,601398.XSHG,17900,0.13168,2357.0719999999997
2025-07-14,600027.XSHG,24800,0.104,2579.2
2025-07-14,000429.XSHE,10100,0.4184,4225.84
2025-07-15,600020.XSHG,28400,0.136,3862.4
2025-07-17,600018.XSHG,23800,0.116,2760.8
2025-07-18,601326.XSHG,42100,0.068,2862.8
2025-07-30,600377.XSHG,8800,0.392,3449.6
2025-08-05,600350.XSHG,12700,0.336,4267.2
2025-08-08,601228.XSHG,41900,0.0312,1307.28
2025-08-15,601333.XSHG,47000,0.056,2632.0
2025-08-22,601991.XSHG,42900,0.04968,2131.272
2025-10-15,000001.XSHE,12300,0.1888,2322.24
2025-10-15,002839.XSHE,32400,0.08,2592.0
2025-10-16,600803.XSHG,7700,0.144,1108.8
2025-10-24,601018.XSHG,38300,0.024,919.2
2025-10-29,600795.XSHG,27900,0.08,2232.0
2025-10-29,603689.XSHG,16300,0.04,652.0
2025-10-31,600017.XSHG,45400,0.0264,1198.56
2025-11-12,600027.XSHG,27400,0.072,1972.8
2025-11-25,600908.XSHG,23700,0.088,2085.6
2025-12-03,002807.XSHE,31600,0.08,2528.0
2025-12-15,601398.XSHG,19200,0.11312,2171.904
2025-12-31,600033.XSHG,41500,0.04,1660.0
2026-01-13,600018.XSHG,26300,0.04,1052.0
2026-02-05,601860.XSHG,51900,0.04,2076.0
2026-05-12,601528.XSHG,27000,0.168,4536.0
2026-05-19,000828.XSHE,14300,0.26,3718.0
2026-05-29,002039.XSHE,7700,0.312,2402.4
