canonical_model_id,formal_window,comparison_status
v5b_etf_holdings_reference_audit,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5b_etf_pit_sector_gate_audit,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5b_forward_paper_handoff,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5b_no_jq_1234_execution,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5b_no_jq_next_actions,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5b_no_jq_sleeve_promotion,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5b_non_core_sector_disposition,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5b_non_core_sector_queue_execution,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5b_telecom_sidecar_attribution,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5b_telecom_specialist_policy,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5b_three_track_execution,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5b_three_track_execution_plan,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_50w_execution_micro_audit,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_50w_execution_optimization_test,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_bank_power_dedicated_book_card_collection,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_bank_power_financial_report_batch_extraction,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_bank_power_financial_report_data_gate,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_bank_power_financial_report_pit_panel,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_bank_power_industry_factor_weight_test,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_bank_power_single_factor_cross_section_test,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_bank_power_v5f_attribution,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_bank_special_mention_pre2021_train_test,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_closeout,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_closeout_defense_addendum,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_continuation_decision,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_core_infra_cashflow_field_repair,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_cross_sector_pre2021_factor_screen,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_cycle_sector_data_gate_queue,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_defense_overlay_exploration,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_defense_overlay_formal_validation,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_defense_overlay_pm_quant_review,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_erc_formal_validation,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_erc_forward_paper_tracking,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_erc_pm_quant_review,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_final_archive,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_financial_statement_expectation_layer,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_fixed_rule_risk_budget_spec,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_forward_financial_statement_tracking,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_highway_capex_fcf_small_original_page_review,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_highway_ocf_risk_cap_rule_freeze,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_highway_ocf_risk_cap_v1_limited_engineering,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_industry_knowledge_base_bank_power_p0,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_infra_capex_original_statement_extraction,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_infra_ocf_quality_fixed_rule_quant_spec,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_key_metric_confidence_tilt_overlay,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_key_weight_metric_prediction,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_low_capital_version_handoff,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_overheat_no_new_overweight_limited_engineering,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_overheat_overlay_pm_quant_spec,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_overlay_engineering_comparison,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_overlay_hypothesis_admission,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_overlay_quant_spec,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_p0_local_data_gate,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_p1_financial_quality_pit_panel,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_p2_valuation_and_crowding_state_panel,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_p3_state_governance_quant_spec,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_p4_state_forward_observation_packet,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_power_specialist_combo_deep_dive,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_profit_taking_overheat_overlay,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_risk_budget_overlay_engineering_comparison,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_sidecar_observation_enhancement,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_sleeve_level_risk_attribution,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_sleeve_weighting_diagnostic,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_sleeve_weighting_rigorous_test,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5c_topx_capital_rigorous_test,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5d_baostock_5min_data_gate,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5d_closeout,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5d_free_minute_source_audit,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5d_l2_conservative_slippage_spec,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5d_l2_execution_cost_broker_paper_review,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5d_l2_liquidity_instant_fill_review,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5d_l2_order_scheduling_pm_quant_review,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5d_l3_1_unfilled_remediation,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5d_l3_intraday_execution_engineering,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5d_l3_intraday_execution_policy_spec,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5d_l3_pm_quant_review,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5d_l4_rebalance_neighborhood_order_completion,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5d_minute_execution_audit,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5d_minute_execution_robustness,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5d_order_scheduling_engineering_test,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5d_order_scheduling_policy_spec,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5d_yixin_api_capability_probe,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_511360_cash_proxy_forward_stress_packet,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_511360_cash_proxy_limited_engineering,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_511360_cash_proxy_limited_engineering_spec,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_511360_cash_proxy_pm_quant_review,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_511360_forward_paper_tracking,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_511360_pit_data_audit,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_capital_sensitivity_test,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_cash_drag_robustness_packet,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_cash_policy_review,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_cash_proxy_asset_data_gate,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_daily_momentum_diagnostic_addendum,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_formal_validation_forward_packet,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_forward_paper_continuation_v5f_prep,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_forward_paper_daily_packet,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_full_holding_5min_data_gate,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_full_holding_5min_momentum_research,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_full_holding_rolling_intraday_research,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_full_intraday_nav_engineering_test,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_historical_closeout_governance_packet,2021-05-01_to_2026-05-31,not_ranked_cross_model
