canonical_model_id,report_status,return_source,total_return_pct,annualized_return_pct,max_drawdown_pct,annualized_volatility_pct,sharpe_ratio,observations,start_date,end_date,benchmark_total_return_pct,benchmark_annualized_return_pct,benchmark_max_drawdown_pct,benchmark_annualized_volatility_pct,excess_return_pct_points,annualized_excess_return_pct,max_drawdown_delta_pct_points,volatility_ratio,tracking_error_pct,information_ratio,beta_zero_rf,alpha_zero_rf_annualized_pct,benchmark_sharpe_ratio
airport_transport_cashflow_operating_state_v58,performance_data_unavailable,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,
airport_transport_franchise_state_v58b,performance_data_unavailable,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,
bank_high_dividend_sustainability_v3,report_complete_validation_not_independent,local_daily_backtests_v3_formal_candidate\bank_high_dividend_sustainability_v3\daily_returns.csv,61.76096459000051,10.373124844376825,17.23813687023211,16.33482528356165,0.6860339939671231,1228,2021-05-06,2026-05-29,25.16129032258101,4.713335456647205,27.27272727272715,16.892725371868856,36.5996742674195,5.173877896131585,-10.034590402495038,0.9669739443443349,7.718269447340995,0.67034170437183,0.8631409532375741,5.999461966542478,0.3570985380459063
bank_value_15y,report_complete_validation_not_independent,local_daily_backtests\bank_value_15y\daily_returns.csv,51.01249673000012,8.963745438796433,17.184236890455562,17.093586516548864,0.5877694719662523,1210,2021-05-06,2026-04-30,28.225806451613302,5.314324586299768,27.27272727272715,16.959574270658326,22.78669027838682,3.4309534638459906,-10.088490382271587,1.0079018637939745,8.26508436017165,0.41511414939444563,0.8891827895396488,4.1641350727277135,0.39011208367664785
bank_value_quality_v2,report_complete_validation_not_independent,local_daily_backtests_v2_real_jq\bank_value_quality_v2\daily_returns.csv,28.055091964999335,5.205657156227295,17.0467812577062,16.009628564526967,0.39706957984563307,1228,2021-05-06,2026-05-29,25.16129032258101,4.713335456647205,27.27272727272715,16.892725371868856,2.8938016424183246,0.3245689536960115,-10.225946015020948,0.9477232484456005,8.641938132686985,0.037557426206092884,0.818233911029287,1.4210488075678938,0.3570985380459063
cement_cycle_aware_ocf_low_vol_v5a9,performance_data_unavailable,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,
coal_cashflow_cycle_value_v52b,report_complete_validation_not_independent,local_daily_backtests_coal_v52b\coal_cashflow_cycle_value_v52b_capex_policy\daily_returns.csv,133.6935555750006,19.028410250785367,28.113093475664662,28.34383427335399,0.7565896433079342,1228,2021-05-06,2026-05-29,94.8406676783018,14.668901657533496,33.18584070796457,31.856658652447646,38.8528878966988,2.6835258589296793,-5.0727472322999105,0.8897302941460952,19.772784909212547,0.1357181535757955,0.7031882835342357,8.252047752260879,0.5889232078168668
coal_cashflow_cycle_value_v52b_capex_policy,report_complete_validation_not_independent,local_daily_backtests_coal_v52b\coal_cashflow_cycle_value_v52b_capex_policy\daily_returns.csv,133.6935555750006,19.028410250785367,28.113093475664662,28.34383427335399,0.7565896433079342,1228,2021-05-06,2026-05-29,94.8406676783018,14.668901657533496,33.18584070796457,31.856658652447646,38.8528878966988,2.6835258589296793,-5.0727472322999105,0.8897302941460952,19.772784909212547,0.1357181535757955,0.7031882835342357,8.252047752260879,0.5889232078168668
coal_high_dividend_cycle_value_v52,performance_data_unavailable,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,
consumer_staples_ocf_low_vol_v5a5,performance_data_unavailable,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,
