trade_date,code,amount,net_cash_per_share,dividend_cash
2025-07-10,600795.XSHG,23200,0.088,2041.6
2025-07-11,600033.XSHG,32800,0.04,1312.0
2025-07-14,601398.XSHG,15100,0.13168,1988.368
2025-07-14,600027.XSHG,21100,0.104,2194.4
2025-07-14,000429.XSHE,8600,0.4184,3598.24
2025-07-15,600020.XSHG,24000,0.136,3264.0000000000005
2025-07-17,600018.XSHG,20200,0.116,2343.2000000000003
2025-07-18,601326.XSHG,35800,0.068,2434.4
2025-07-30,600377.XSHG,7500,0.392,2940.0
2025-08-05,600350.XSHG,10800,0.336,3628.8
2025-08-08,601228.XSHG,35600,0.0312,1110.72
2025-08-15,601333.XSHG,40300,0.056,2256.8
2025-08-22,601991.XSHG,35400,0.04968,1758.672
2025-10-15,000001.XSHE,10500,0.1888,1982.3999999999999
2025-10-15,002839.XSHE,27800,0.08,2224.0
2025-10-16,600803.XSHG,6500,0.144,935.9999999999999
2025-10-24,601018.XSHG,32700,0.024,784.8000000000001
2025-10-29,600795.XSHG,23200,0.08,1856.0
2025-10-29,603689.XSHG,14100,0.04,564.0
2025-10-31,600017.XSHG,38800,0.0264,1024.32
2025-11-12,600027.XSHG,23000,0.072,1655.9999999999998
2025-11-25,600908.XSHG,20400,0.088,1795.1999999999998
2025-12-03,002807.XSHE,27100,0.08,2168.0
2025-12-15,601398.XSHG,16400,0.11312,1855.168
2025-12-31,600033.XSHG,35600,0.04,1424.0
2026-01-13,600018.XSHG,22500,0.04,900.0
2026-02-05,601860.XSHG,44100,0.04,1764.0
2026-05-12,601528.XSHG,23000,0.168,3864.0000000000005
2026-05-19,000828.XSHE,12300,0.26,3198.0
2026-05-29,002039.XSHE,6600,0.312,2059.2
