year,trade_date,factor_visible_date,external_state_visible_date,candidate_count,guarded_count,selected_count,used_factors,selected_codes
2021,2021-07-01,2021-07-01,2021-07-01,5,5,3,price_to_embedded_value,601336.XSHG;601601.XSHG;601628.XSHG
2021,2021-10-08,2021-10-08,2021-10-01,5,5,3,price_to_embedded_value,601336.XSHG;601628.XSHG;601601.XSHG
2022,2022-01-04,2022-01-04,2022-01-01,5,5,3,price_to_embedded_value,601336.XSHG;601601.XSHG;601628.XSHG
2022,2022-04-01,2022-04-01,2022-04-01,5,5,3,price_to_embedded_value,601336.XSHG;601601.XSHG;601628.XSHG
2022,2022-07-01,2022-07-01,2022-07-01,5,5,3,price_to_embedded_value,601336.XSHG;601601.XSHG;601628.XSHG
2022,2022-10-10,2022-10-10,2022-10-10,5,5,3,price_to_embedded_value,601336.XSHG;601601.XSHG;601628.XSHG
2026,2026-01-05,2026-01-05,2026-01-05,5,5,3,price_to_embedded_value,601336.XSHG;601628.XSHG;601601.XSHG
2026,2026-04-01,2026-04-01,2026-04-01,5,5,3,price_to_embedded_value,601336.XSHG;601628.XSHG;601601.XSHG
