year,daily_count,strategy_return,benchmark_return,excess_return,max_drawdown,dividend_cash,dividend_event_count,trade_count,buy_turnover,sell_turnover,signal_count,selected_codes_by_rebalance,interpretation
2021,164,-0.09921016159999918,-0.16724074023848878,0.0680305786384896,0.1308185198485463,25834.4,2,6,2033520.0,22224.0,2,2021-07-01:601336.XSHG;601601.XSHG;601628.XSHG | 2021-10-08:601336.XSHG;601628.XSHG;601601.XSHG,"outperformed_benchmark,negative_absolute_return,dividends_cushioned_drawdown,few_rebalance_observations"
2022,242,-0.007079191813850749,-0.08271272553574938,0.07563353372189863,0.2885414732681548,47048.8,3,11,199985.0,151820.0,4,2022-01-04:601336.XSHG;601601.XSHG;601628.XSHG | 2022-04-01:601336.XSHG;601601.XSHG;601628.XSHG | 2022-07-01:601336.XSHG;601601.XSHG;601628.XSHG | 2022-10-10:601336.XSHG;601601.XSHG;601628.XSHG,"outperformed_benchmark,negative_absolute_return,dividends_cushioned_drawdown"
2026,95,-0.2087558743236687,-0.19586478922188644,-0.012891085101782274,0.3159742633552133,0,0,6,107115.0,99125.0,2,2026-01-05:601336.XSHG;601628.XSHG;601601.XSHG | 2026-04-01:601336.XSHG;601628.XSHG;601601.XSHG,"underperformed_benchmark,negative_absolute_return,few_rebalance_observations,partial_year_tail_risk"
