trade_date,code,target_weight,actual_weight,amount,close
2021-05-07,600795.XSHG,0.03553571428145,0.03566462310397361,30900,2.33
2021-05-07,600168.XSHG,0.03553571428145,0.035056813159829045,10500,6.74
2021-05-07,002039.XSHE,0.03553571428145,0.03445346147933347,4800,14.49
2021-05-07,600027.XSHG,0.03553571428145,0.03571812226776139,20900,3.45
2021-05-07,601006.XSHG,0.03553571428145,0.03501520269910521,10200,6.93
2021-05-07,600011.XSHG,0.03553571428145,0.03566313701609061,16900,4.26
2021-05-07,600310.XSHG,0.03553571428145,0.0368004896092087,17000,4.37
2021-05-07,600033.XSHG,0.03553571428145,0.03553880099654678,25900,2.77
2021-05-07,601985.XSHG,0.03553571428145,0.035844439737815884,13500,5.36
2021-05-07,600017.XSHG,0.03553571428145,0.03566709991711193,25900,2.78
2021-05-07,601326.XSHG,0.03553571428145,0.03544319600940749,26500,2.7
2021-05-07,601077.XSHG,0.03553571428145,0.0352004683218518,17000,4.18
2021-05-07,601988.XSHG,0.03553571428145,0.03542040932853492,21800,3.28
2021-05-07,601288.XSHG,0.03553571428145,0.03557942073201528,22100,3.25
2021-05-07,601229.XSHG,0.03553571428145,0.035145978432808686,8600,8.25
2021-05-07,601169.XSHG,0.03553571428145,0.035244060233086294,14700,4.84
2021-05-07,600717.XSHG,0.03553571428145,0.03535452609905552,14900,4.79
2021-05-07,601328.XSHG,0.03553571428145,0.03565521121404797,14600,4.93
2021-05-07,000900.XSHE,0.03553571428145,0.035145978432808686,16500,4.3
2021-05-07,601000.XSHG,0.03553571428145,0.035813231892273006,26100,2.77
2021-05-07,601398.XSHG,0.03553571428145,0.03568394224645253,13800,5.22
2021-05-07,001872.XSHE,0.03553571428145,0.03557099956734498,4800,14.96
2021-05-07,600035.XSHG,0.03553571428145,0.035319355352491325,23000,3.1
2021-05-07,600018.XSHG,0.03553571428145,0.03507167403865899,15000,4.72
2021-05-07,600368.XSHG,0.03553571428145,0.03490919509678497,18400,3.83
2021-05-07,000755.XSHE,0.03553571428145,0.0352004683218518,20900,3.4
2021-05-07,000429.XSHE,0.03553571428145,0.03504987808304174,9800,7.22
2021-05-07,600106.XSHG,0.03553571428145,0.03557446710573863,27100,2.65
2021-07-02,600795.XSHG,0.03553571428145,0.03553477229501474,29600,2.39
2021-07-02,600027.XSHG,0.03553571428145,0.03542225690156677,20500,3.44
2021-07-02,601006.XSHG,0.03553571428145,0.03547248698792747,10700,6.6
2021-07-02,600011.XSHG,0.03553571428145,0.03561112202628301,16800,4.22
2021-07-02,600017.XSHG,0.03553571428145,0.03554029760451442,26700,2.65
2021-07-02,600033.XSHG,0.03553571428145,0.035261520625212525,27000,2.6
2021-07-02,003816.XSHE,0.03553571428145,0.035406183273931344,26400,2.67
2021-07-02,002267.XSHE,0.03553571428145,0.03554331140969606,10300,6.87
2021-07-02,601991.XSHG,0.03553571428145,0.035371022213478855,27400,2.57
2021-07-02,000543.XSHE,0.03553571428145,0.03541221088429463,18800,3.75
2021-07-02,601326.XSHG,0.03553571428145,0.03540718787565856,26600,2.65
2021-07-02,601077.XSHG,0.03553571428145,0.035406183273931344,17800,3.96
2021-07-02,601988.XSHG,0.03553571428145,0.03558299317792102,23000,3.08
2021-07-02,601328.XSHG,0.03553571428145,0.035442348936111055,14400,4.9
2021-07-02,601169.XSHG,0.03553571428145,0.03554280910883246,14500,4.88
2021-07-02,601398.XSHG,0.03553571428145,0.035864281661540945,13600,5.25
2021-07-02,601229.XSHG,0.03553571428145,0.03542225690156677,8600,8.2
2021-07-02,601288.XSHG,0.03553571428145,0.03546193866979173,23300,3.03
2021-07-02,001872.XSHE,0.03553571428145,0.03424837978331718,4100,16.63
2021-07-02,601228.XSHG,0.03553571428145,0.035487556013835686,22500,3.14
2021-07-02,000900.XSHE,0.03553571428145,0.035216313547487894,17100,4.1
2021-07-02,601000.XSHG,0.03553571428145,0.035442348936111055,29400,2.4
2021-07-02,600035.XSHG,0.03553571428145,0.035744734056002474,23800,2.99
2021-07-02,600368.XSHG,0.03553571428145,0.03480442683933014,20500,3.38
2021-07-02,000429.XSHE,0.03553571428145,0.035590025390011513,9800,7.23
